block,metric,estimate,p_value,interpretation_target
chip_main_composition_control,high_minus_mid_cumulative_BTC_effect,-0.010991626368489802,0.65773788605339,cumulative BTC response over lag structure
chip_main_composition_control,low_minus_mid_cumulative_BTC_effect,0.014923321610727708,0.5883986730697051,cumulative BTC response over lag structure
chip_main_composition_control,high_minus_low_cumulative_BTC_effect,-0.025914947979217503,0.5013841632477672,cumulative BTC response over lag structure
chip_main_lag_window,window_mid_cumulative_BTC_effect,0.016204268683198776,0.2669311885722968,cumulative BTC response over lag structure
chip_main_lag_window,window_high_cumulative_BTC_effect,0.018229213886460253,0.21044150649596416,cumulative BTC response over lag structure
chip_main_lag_window,window_low_cumulative_BTC_effect,0.02328450540448792,0.2569150775826231,cumulative BTC response over lag structure
chip_main_lag_window,window_high_minus_mid_cumulative_BTC_effect,0.002024945203261479,0.8765444210545202,cumulative BTC response over lag structure
chip_main_lag_window,window_low_minus_mid_cumulative_BTC_effect,0.007080236721289146,0.600261888123413,cumulative BTC response over lag structure
chip_main_lag_window,window_high_minus_low_cumulative_BTC_effect,-0.005055291518027667,0.7914532053761598,cumulative BTC response over lag structure
product_FE,mid_cumulative_BTC_effect,-0.015136508814807013,0.7295521261032842,cumulative BTC response over lag structure
product_FE,high_cumulative_BTC_effect,0.02299966796845468,0.5874714349675132,cumulative BTC response over lag structure
product_FE,low_cumulative_BTC_effect,0.12157441643624856,0.2354038270835359,cumulative BTC response over lag structure
product_FE,high_minus_mid_cumulative_BTC_effect,0.0381361767832617,0.3108746241095883,cumulative BTC response over lag structure
product_FE,low_minus_mid_cumulative_BTC_effect,0.13671092525105555,0.12695690070387056,cumulative BTC response over lag structure
product_FE,high_minus_low_cumulative_BTC_effect,-0.09857474846779385,0.3282256635062716,cumulative BTC response over lag structure
chip_main_almon,almon_mid_cumulative_BTC_effect,0.046787256541322944,0.05553708528752065,cumulative BTC response over lag structure
chip_main_almon,almon_high_cumulative_BTC_effect,0.039262972671648105,0.18176898505445072,cumulative BTC response over lag structure
chip_main_almon,almon_low_cumulative_BTC_effect,0.051257216304784387,0.15771477028581826,cumulative BTC response over lag structure
chip_main_almon,almon_high_minus_mid_cumulative_BTC_effect,-0.00752428386967488,0.7368095766932861,cumulative BTC response over lag structure
chip_main_almon,almon_low_minus_mid_cumulative_BTC_effect,0.004469959763461449,0.8718916419625122,cumulative BTC response over lag structure
chip_main_almon,almon_high_minus_low_cumulative_BTC_effect,-0.011994243633136337,0.7314214983987564,cumulative BTC response over lag structure
chip_scatter_eda,high_simple_beta_l0,-0.036831983262867296,0.08133549359921974,uncontrolled visual slope; main conclusion relies on interaction regression
chip_scatter_eda,mid_simple_beta_l0,-0.047617282040970196,0.017774184712334867,uncontrolled visual slope; main conclusion relies on interaction regression
chip_scatter_eda,low_simple_beta_l0,-0.03998786093845353,0.048585108058054494,uncontrolled visual slope; main conclusion relies on interaction regression
chip_group_ccf_eda,mid_lag0_outside_band,-0.24024476001177977,,CCF visual signal; not confirmatory evidence
chip_group_ccf_eda,low_lag0_outside_band,-0.20080654547248314,,CCF visual signal; not confirmatory evidence
chip_volatility_eda,high_corr_sqret_absbtc,0.11893160460883098,,volatility clustering diagnostic for robust standard errors
chip_volatility_eda,low_corr_sqret_absbtc,0.11620150808647928,,volatility clustering diagnostic for robust standard errors
chip_volatility_eda,mid_corr_sqret_absbtc,0.14112465634221574,,volatility clustering diagnostic for robust standard errors
chip_residual_diagnostic,jarque_bera_p,1801.1630938365797,0.0,residual fat-tail diagnostic; visualized with residual plot and Q-Q plot
chip_regime_eda,time_regime:early:high_beta_l0,-0.004216587994044113,,regime-specific descriptive beta; not confirmatory evidence
chip_regime_eda,time_regime:early:low_beta_l0,0.009328086873181752,,regime-specific descriptive beta; not confirmatory evidence
chip_regime_eda,time_regime:early:mid_beta_l0,-0.006484886998728157,,regime-specific descriptive beta; not confirmatory evidence
chip_regime_eda,time_regime:late:high_beta_l0,-0.08084305471467078,,regime-specific descriptive beta; not confirmatory evidence
chip_regime_eda,time_regime:late:low_beta_l0,-0.10128032637936517,,regime-specific descriptive beta; not confirmatory evidence
chip_regime_eda,time_regime:late:mid_beta_l0,-0.10250416305156926,,regime-specific descriptive beta; not confirmatory evidence
chip_regime_eda,btc_vol_regime:high_btc_vol:high_beta_l0,-0.017599668371128408,,regime-specific descriptive beta; not confirmatory evidence
chip_regime_eda,btc_vol_regime:high_btc_vol:low_beta_l0,-0.005280700481234817,,regime-specific descriptive beta; not confirmatory evidence
chip_regime_eda,btc_vol_regime:high_btc_vol:mid_beta_l0,-0.018301515443116426,,regime-specific descriptive beta; not confirmatory evidence
chip_regime_eda,btc_vol_regime:low_btc_vol:high_beta_l0,-0.09262919861969361,,regime-specific descriptive beta; not confirmatory evidence
chip_regime_eda,btc_vol_regime:low_btc_vol:low_beta_l0,-0.1329598160888461,,regime-specific descriptive beta; not confirmatory evidence
chip_regime_eda,btc_vol_regime:low_btc_vol:mid_beta_l0,-0.1270549985909201,,regime-specific descriptive beta; not confirmatory evidence
