gpu_ret,date,group,is_high,is_low,btc_poly_d0,btc_poly_d1,btc_poly_d2,high_btc_poly_d0,high_btc_poly_d1,high_btc_poly_d2,low_btc_poly_d0,low_btc_poly_d1,low_btc_poly_d2,fx_ret,nvda_ret,high_fx_ret,low_fx_ret,high_nvda_ret,low_nvda_ret,gpu_ret_l1
0.0024823209540382,2025-05-25,low,0,1,0.18928335264600057,0.3861908955704356,0.7775427884045343,0.0,0.0,0.0,0.18928335264600057,0.3861908955704356,0.7775427884045343,-0.0138810655260943,0.0117411070616686,-0.0,-0.0138810655260943,0.0,0.0117411070616686,-0.0015300183204682
0.0003103773497704,2025-06-01,low,0,1,0.1575382457118371,0.427478130476476,0.4072428725317643,0.0,0.0,0.0,0.1575382457118371,0.427478130476476,0.4072428725317643,-0.0120214098825552,0.0221440269653916,-0.0,-0.0120214098825552,0.0,0.0221440269653916,0.0024823209540382
0.0003373743513072,2025-06-08,low,0,1,0.1673824133454039,0.9087923643138669,4.333721272326538,0.0,0.0,0.0,0.1673824133454039,0.9087923643138669,4.333721272326538,-5.8329534925682935e-05,0.0310227026767808,-0.0,-5.8329534925682935e-05,0.0,0.0310227026767808,0.0003103773497704
-0.0042940255031747,2025-06-15,low,0,1,0.218676328847774,1.3235797207460163,8.545332902080386,0.0,0.0,0.0,0.218676328847774,1.3235797207460163,8.545332902080386,-0.008631500027163,0.0200489313864355,-0.0,-0.008631500027163,0.0,0.0200489313864355,0.0003373743513072
-0.0003547469950295,2025-06-22,low,0,1,0.17257552878324478,1.36418725863272,9.808549553770558,0.0,0.0,0.0,0.17257552878324478,1.36418725863272,9.808549553770558,0.0083003823695113,0.0087813193971468,0.0,0.0083003823695113,0.0,0.0087813193971468,-0.0042940255031747
-0.0061351587619228,2025-07-20,low,0,1,0.1189063904043657,0.057735697367893024,0.0710617101409099,0.0,0.0,0.0,0.1189063904043657,0.057735697367893024,0.0710617101409099,0.0102135071925486,0.0497911421614061,0.0,0.0102135071925486,0.0,0.0497911421614061,-0.0003547469950295
0.0007995973082795,2025-07-27,low,0,1,0.0931172491378086,-0.006614854738176773,-1.3438729873128579,0.0,-0.0,-0.0,0.0931172491378086,-0.006614854738176773,-1.3438729873128579,-0.0036586153878488,0.0057955749527538,-0.0,-0.0036586153878488,0.0,0.0057955749527538,-0.0061351587619228
-0.0008446270384934,2025-08-03,low,0,1,0.09119844801445968,0.22421223906714308,-0.02459684564380149,0.0,0.0,-0.0,0.09119844801445968,0.22421223906714308,-0.02459684564380149,0.0066650995419106,0.030730495307413,0.0,0.0066650995419106,0.0,0.030730495307413,0.0007995973082795
-0.0067719780662666,2025-08-10,low,0,1,0.12072520130596578,0.5505891665050554,2.631632395316018,0.0,0.0,0.0,0.12072520130596578,0.5505891665050554,2.631632395316018,-0.0020526921508841,0.0202354763953609,-0.0,-0.0020526921508841,0.0,0.0202354763953609,-0.0008446270384934
0.0026446100246825,2025-08-17,low,0,1,0.11966541965966819,0.45707407137643574,1.925373261720826,0.0,0.0,0.0,0.11966541965966819,0.45707407137643574,1.925373261720826,-0.0003448179398874,0.0090035015555303,-0.0,-0.0003448179398874,0.0,0.0090035015555303,-0.0067719780662666
