block,base_group,group,lag_week,term_label,coef,se,p_value
chip_main,mid,mid,0,mid_l0,-0.01353083324696326,0.017928746305960443,0.4504287250105622
chip_main,mid,high,0,high_l0,-0.0019027123345425646,0.018860722101083284,0.9196439230415865
chip_main,mid,low,0,low_l0,0.0011151126162984477,0.019442222930561328,0.9542622481429325
chip_main,mid,mid,1,mid_l1,0.018921537312774597,0.018134209151722463,0.29675532591807874
chip_main,mid,high,1,high_l1,0.00905339049900444,0.01546504464348242,0.5582721222635463
chip_main,mid,low,1,low_l1,-0.00297674283920046,0.02050297084844881,0.8845640764326301
chip_main,mid,mid,2,mid_l2,0.029987278572238353,0.02088624483367193,0.15107550157104002
chip_main,mid,high,2,high_l2,0.029465608955849577,0.01649942815025706,0.0741225159345099
chip_main,mid,low,2,low_l2,0.04393474798423286,0.030341013869267932,0.1476082028343351
chip_main,mid,mid,3,mid_l3,-0.01717724015267212,0.00939389252702436,0.06746644279777504
chip_main,mid,high,3,high_l3,-0.013283449934602641,0.009611698384519007,0.16696905710949106
chip_main,mid,low,3,low_l3,-0.018377928878983305,0.015771680368559884,0.24391836780907428
chip_main,mid,mid,4,mid_l4,0.002825204500871662,0.014455078397525106,0.845042874055584
chip_main,mid,high,4,high_l4,0.009704698203999582,0.012440517600533966,0.4353390929824309
chip_main,mid,low,4,low_l4,-0.0033068260138171767,0.024771643382226975,0.8938039780147194
chip_main,mid,mid,5,mid_l5,0.005725153520364701,0.011715700154469851,0.6250727880676976
chip_main,mid,high,5,high_l5,0.008854980024935238,0.014046519245556784,0.5284303826039224
chip_main,mid,low,5,low_l5,0.002398949654037105,0.014717015379652598,0.8705143608266829
chip_main,mid,mid,6,mid_l6,-0.02387973566552464,0.012849057718532165,0.0631006725171524
chip_main,mid,high,6,high_l6,-0.017497362530849127,0.010386731020629725,0.09206808641182881
chip_main,mid,low,6,low_l6,-0.013183109914481267,0.02056109479960066,0.521413731089444
chip_main,mid,mid,7,mid_l7,0.03055887343187133,0.012542359300947322,0.0148320821411544
chip_main,mid,high,7,high_l7,0.013444034625462419,0.012727054252079576,0.2908151273459135
chip_main,mid,low,7,low_l7,0.013965619691980222,0.018675072037975148,0.45456785431386615
chip_main,mid,mid,8,mid_l8,0.011271044218205892,0.016705995430807506,0.49988505756127377
chip_main,mid,high,8,high_l8,-0.0002490657817070946,0.02789206266590907,0.9928752812851411
chip_main,mid,low,8,low_l8,0.028317942521378255,0.01933918404730021,0.14311799465384833
