date,group,gpu_ret,btc_krw_ret_l0,gpu_ret_sq,btc_ret_abs,gpu_roll_std_12w,gpu_roll_std_24w
2024-05-05,high,-0.0020429574849603,-0.0513084427149692,4.173675285355315e-06,0.0513084427149692,,
2024-05-12,high,0.0010447785002834,-0.0013754683318119,1.0915621146544306e-06,0.0013754683318119,,
2024-05-19,high,-0.0015462900612988,0.0461135501063978,2.3910129536714468e-06,0.0461135501063978,,
2024-05-26,high,-0.0011233937207412,0.0686495804135489,1.2620134518007576e-06,0.0686495804135489,,
2024-06-02,high,-0.0012349179550861,-0.010917812308282,1.5250223557940346e-06,0.010917812308282,,
2024-06-09,high,-0.0028314081740126,0.0266188741577551,8.016872247865365e-06,0.0266188741577551,,
2024-06-16,high,-0.0009931148360484,-0.0362491072510273,9.862770775794404e-07,0.0362491072510273,,
2024-06-23,high,0.001679212065542,-0.0330116898989452,2.8197531610618303e-06,0.0330116898989452,0.0015145361916476003,
2024-06-30,high,-0.0006452835045944,-0.0555696556243319,4.16390801301631e-07,0.0555696556243319,0.0014188962529672554,
2024-07-07,high,-0.0024869608530912,-0.0410669813095161,6.184974284808109e-06,0.0410669813095161,0.001433861514222721,
2024-07-14,high,0.0009581357949737,-0.0142703479999255,9.18024201609884e-07,0.0142703479999255,0.0014850539635929113,
2024-07-21,high,0.0002256809711285,0.1265158981861844,5.0931900729502855e-08,0.1265158981861844,0.0014488782475902831,
2024-07-28,high,0.0027090649473888,0.0176335745640834,7.339032889170682e-06,0.0176335745640834,0.0016922431231106276,
2024-08-04,high,0.0018852747358023,-0.0687766374006173,3.5542608294544324e-06,0.0687766374006173,0.0017709515800260877,
2024-08-11,high,0.0005153406534047,-0.0836901213506138,2.655759890515831e-07,0.0836901213506138,0.0017370028030727958,
2024-08-18,high,0.0003661353680746,0.006822322947773,1.3405510775512281e-07,0.006822322947773,0.0017111762619305016,0.00164021797448395
2024-08-25,high,0.0015603125850234,0.0251732607552135,2.434575362982405e-06,0.0251732607552135,0.0017162128602404032,0.0016457890087735317
2024-09-01,high,-0.0037105452906187,-0.0356453117592288,1.3768146353732614e-05,0.0356453117592288,0.001871247687933674,0.0018075904741267908
2024-09-08,high,-0.0003108174803126,-0.0537272286200334,9.660750606787347e-08,0.0537272286200334,0.0018427784849575797,0.0017566624519896282
2024-09-15,high,0.0021649159023033,0.0399645800118513,4.686860864045712e-06,0.0399645800118513,0.001882439245625066,0.0017974720872564577
2024-09-22,high,0.0028153259092772,0.048899243263051,7.926059975447494e-06,0.048899243263051,0.001991512729268185,0.001870747465110749
2024-09-29,high,3.394253648121066e-05,0.0397115795300244,1.1520957827783165e-09,0.0397115795300244,0.0017607426288729115,0.0018257455449745004
2024-10-06,high,-0.0007450335546018,-0.0357942264543424,5.550749974825933e-07,0.0357942264543424,0.0018119007998096703,0.0017897484546884213
2024-10-13,high,-0.0010669518134273,0.0116335308128299,1.1383861721758038e-06,0.0116335308128299,0.001875170315776818,0.001762093424606171
2024-10-20,high,-0.0007212564883559,0.1034553031643703,5.202109219954845e-07,0.1034553031643703,0.0017692795455307882,0.001719381560746233
2024-10-27,high,-0.0004101855188865,0.0050535153150264,1.6825215990418725e-07,0.0050535153150264,0.0016969183957581833,0.001704291291166858
2024-11-03,high,-0.0001663291388744,0.0432470721497075,2.766538243869944e-08,0.0432470721497075,0.0016909927994459145,0.0016771906375843651
2024-11-10,high,0.0015698218971745,0.0646987969477272,2.464340788848546e-06,0.0646987969477272,0.0017503709945550076,0.0016932397821291802
2024-11-17,high,0.0007365709173316,0.1897681283424255,5.425367162587147e-07,0.1897681283424255,0.0017027331703515151,0.0016760114604110446
2024-11-24,high,0.0041113398521545,0.0677434983068003,1.6903115379913788e-05,0.0677434983068003,0.0016426639914812668,0.0017404796858856574
2024-12-01,high,0.0015895943395237,-0.0071312245327597,2.526810164245788e-06,0.0071312245327597,0.0016313284775322776,0.0017291300540140347
2024-12-08,high,-2.340298854054645e-05,0.0462672790698128,5.476998726289484e-10,0.0462672790698128,0.001589831243641472,0.0017146855549679142
2024-12-15,high,0.0075941390547318,0.0307560313734285,5.767094798260279e-05,0.0307560313734285,0.0025134822113169085,0.0022314702166676206
2024-12-22,high,0.0026747995408164,0.0038157699591856,7.154552583551626e-06,0.0038157699591856,0.002532748580436069,0.0021481104099776746
2024-12-29,high,0.0028512666372602,-0.0267282623878237,8.12972143675309e-06,0.0267282623878237,0.0024860210702180806,0.0021804533174489315
2025-01-05,high,0.006063983473688,0.0050274225344075,3.677189556916118e-05,0.0050274225344075,0.002647601241465614,0.002394564355942155
2025-01-12,high,0.0193442056658885,-0.0068580297478497,0.00037419829284419275,0.0068580297478497,0.005483174042056395,0.004387373734812779
2025-01-19,high,0.0012199754224303,0.0414024115023998,1.488340031333989e-06,0.0414024115023998,0.0053879946539571785,0.004390429304953966
2025-01-26,high,0.004038088039949,0.0203205768237566,1.6306155018379158e-05,0.0203205768237566,0.0052293711869485955,0.0043974337295749006
2025-02-02,high,-0.0009465573481185,-0.011270472861252,8.959708132771271e-07,0.011270472861252,0.005397186319469327,0.004428628382114194
2025-02-09,high,0.0122854360045331,-0.0409746480380235,0.00015093193782147823,0.0409746480380235,0.005759544600240197,0.004889522622003307
2025-02-16,high,0.0262991653331438,-0.0091607328626679,0.0006916460972200327,0.0091607328626679,0.008387039097439333,0.006716930018717746
2025-02-23,high,0.0096403173018167,-0.0109043615146369,9.293571767970644e-05,0.0109043615146369,0.008243005606253847,0.0067596727105939825
2025-03-02,high,0.0063314200319886,-0.0898429512681602,4.008687962146653e-05,0.0898429512681602,0.007906925762264974,0.006758466211163913
2025-03-09,high,7.998753079277999e-05,-0.0088169128031019,6.398005082325927e-09,0.0088169128031019,0.008242459283937712,0.006808875225156469
2025-03-16,high,-0.0215472801623906,-0.0489238811333372,0.00046428528239655145,0.0489238811333372,0.01174893793394534,0.008585395826720492
2025-03-23,high,-0.0198428348129184,0.0298958795022947,0.0003937380934127664,0.0298958795022947,0.01384804537281728,0.009784393992649375
2025-03-30,high,-0.0144749384742874,0.0164440130822178,0.00020952384383440568,0.0164440130822178,0.014752900708393928,0.01036660738095524
2025-04-06,high,-0.0108525558666681,-0.0359751097917282,0.0001177779688391522,0.0359751097917282,0.01406023373164976,0.01068417724219061
2025-04-13,high,-0.0071729243734397,-0.0274894381207495,5.1450844067085313e-05,0.0274894381207495,0.014167234429858134,0.010827448382438955
2025-04-20,high,-0.011551798199578,0.0197854212178967,0.00013344404164377353,0.0197854212178967,0.014342258931203257,0.011139791492945318
2025-04-27,high,-0.0038594622364792,0.1050409413770196,1.489544875480903e-05,0.1050409413770196,0.014335529070682206,0.011179258194376353
2025-05-04,high,-0.0074032230657679,0.0137679229098601,5.480771176151787e-05,0.0137679229098601,0.013545884090742992,0.011298025710347537
2025-05-11,high,-0.0071004991820975,0.0336588283818208,5.041708863496727e-05,0.0336588283818208,0.009446702126012872,0.011363835259973523
2025-05-18,high,-0.0102553867205142,0.0436888910885038,0.00010517295678729901,0.0436888910885038,0.007803876661415992,0.011538675774707671
2025-05-25,high,-0.0037548820693619,0.0203618825011595,1.4099139354815505e-05,0.0203618825011595,0.006427749833490814,0.011554404250613368
2025-06-01,high,-0.0078052928204413,-0.0153010938519457,6.09225960128325e-05,0.0153010938519457,0.005684751635090404,0.011492657702449076
2025-06-08,high,-0.0041265525388372,-0.0261309421581614,1.702843585578374e-05,0.0261309421581614,0.004745031060823054,0.011469349501093703
2025-06-15,high,-0.0037072258947316,0.0238044773816206,1.3743523834568513e-05,0.0238044773816206,0.0035285486927221165,0.0114324652331036
2025-06-22,high,-0.0060264753461947,-0.0263153788466325,3.631840509829254e-05,0.0263153788466325,0.0028193808806671623,0.011325453760528636
2025-07-20,high,-0.0008226386094115,0.0472094144153949,6.767342816944864e-07,0.0472094144153949,0.003041095520631042,0.010335282319056817
2025-07-27,high,-0.0081382283585458,-0.0054272587653976,6.623076081583906e-05,0.0054272587653976,0.003083597065099602,0.010330333564923964
2025-08-03,high,-0.0019721952317112,-0.0172198949752946,3.889554031984394e-06,0.0172198949752946,0.0028029467888290326,0.010204659104945862
2025-08-10,high,-0.0040308756013876,0.0033958111333447,1.6247958113861848e-05,0.0033958111333447,0.0027947271546903134,0.010183536092348417
2025-08-17,high,0.0001173432789996,0.022744695735323,1.3769445126377966e-08,0.022744695735323,0.00313428186971202,0.009616351316353603
2025-08-24,high,-0.0016438708396143,-0.036364343164351,2.7023113373342234e-06,0.036364343164351,0.003166147755126483,0.007054696311399821
