group,n,mean_sq_ret,max_sq_ret,corr_sqret_absbtc,corr_rollstd12_absbtc,corr_rollstd24_absbtc
high,97,0.00010602321043796394,0.002557093927067394,0.11893160460883098,0.09134182090290321,0.044526175011470576
low,97,0.00010238591797807878,0.006773381967042092,0.11620150808647928,0.10543651014499834,0.13481917512701594
mid,97,9.840299820875389e-05,0.00504613782229804,0.14112465634221574,0.1163121549478987,0.14295966391435003
