term,coef,se,t,p_value,block
const,0.00038112150379079494,0.0004963485441914581,0.767850552300167,0.44257597724726194,chip_main_lag_window
is_high,-0.00020115984638790986,0.00047757810364260566,-0.4212082690843953,0.6736030066491865,chip_main_lag_window
is_low,0.0004712759666184673,0.0005611340996308514,0.8398633533918214,0.40098500697969586,chip_main_lag_window
btc_w0,-0.0068328056715524915,0.013818182655415828,-0.4944793278495618,0.6209677021863,chip_main_lag_window
btc_w1_2,0.01824642931970482,0.010699584943213864,1.7053399189355927,0.08813104662925268,chip_main_lag_window
btc_w3_5,-0.002519098599428152,0.006471287798677904,-0.3892731520830844,0.6970740946606648,chip_main_lag_window
btc_w6_8,0.0073097436344745975,0.005920361153158549,1.2346786699954622,0.21695011733975522,chip_main_lag_window
high_btc_w0,0.007322347788402479,0.013401747829152792,0.5463725986900151,0.5848098415995479,chip_main_lag_window
high_btc_w1_2,-0.003017850659168351,0.005315492034968157,-0.5677462480077689,0.570207283262912,chip_main_lag_window
high_btc_w3_5,0.005260781379217852,0.004394614762057733,1.1970972802072295,0.2312686399516789,chip_main_lag_window
high_btc_w6_8,-0.007540333305190501,0.005312800061645721,-1.4192766935887227,0.1558183641490098,chip_main_lag_window
low_btc_w0,0.009384516035909026,0.012207473429897156,0.7687517068786353,0.44204072285858,chip_main_lag_window
low_btc_w1_2,-0.002562185409682563,0.005662299650940407,-0.45249908475914546,0.6509094804357107,chip_main_lag_window
low_btc_w3_5,-0.002546296438337401,0.005886028693606533,-0.432600072286976,0.6653053369222865,chip_main_lag_window
low_btc_w6_8,0.002804202533400083,0.0056611108033770225,0.4953449297843265,0.6203566607589445,chip_main_lag_window
fx_ret,-0.10953408095095381,0.1368666927859564,-0.8002975648885765,0.42353841361903,chip_main_lag_window
nvda_ret,0.013077150657274147,0.010907399411475439,1.1989247082596022,0.23055722323452754,chip_main_lag_window
high_fx_ret,0.13724690793520528,0.08350706547811688,1.6435364738229363,0.10027198530914246,chip_main_lag_window
low_fx_ret,-0.2574201067911536,0.1108830861883195,-2.3215452927957054,0.020257432571370523,chip_main_lag_window
high_nvda_ret,-0.00018534516648267656,0.009963368322766676,-0.018602661316771334,0.9851580797804718,chip_main_lag_window
low_nvda_ret,0.008916747347854841,0.010455120663020533,0.8528593437848236,0.3937373099782261,chip_main_lag_window
gpu_ret_l1,0.6467435488300117,0.2624969030538003,2.4638140157312933,0.013746742146415478,chip_main_lag_window
