term,coef,se,t,p_value,block
const,0.00044926180607771993,0.0005215110508408368,0.8614617185069641,0.3889837964395778,chip_main_almon
is_high,-0.00022772636471210306,0.0004743249030489189,-0.4801062799956274,0.6311518229690345,chip_main_almon
is_low,0.00045201311633708083,0.0005619333689416813,0.8043891701757825,0.4211722537255036,chip_main_almon
btc_poly_d0,0.01006040969508908,0.008806100318894358,1.1424364168897188,0.253272661245047,chip_main_almon
btc_poly_d1,-0.0037853641684019324,0.004987172418924309,-0.759020112085558,0.44784052585059053,chip_main_almon
btc_poly_d2,0.0004535131340587784,0.0005989117652744827,0.7572286275774399,0.4489129020364244,chip_main_almon
high_btc_poly_d0,-0.0008968642617007729,0.008377764581201918,-0.10705293196148799,0.91474698735536,chip_main_almon
high_btc_poly_d1,0.003204967280142194,0.005069664332173178,0.6321853026447499,0.5272658000075829,chip_main_almon
high_btc_poly_d2,-0.0005628986647033673,0.0006108531671297841,-0.921495860205259,0.3567916015942174,chip_main_almon
low_btc_poly_d0,0.0036319398835239405,0.007735334857920663,0.46952587706076926,0.6386937927392995,chip_main_almon
low_btc_poly_d1,-0.0033766917077066106,0.004174561651821742,-0.8088733594898646,0.4185879940352647,chip_main_almon
low_btc_poly_d2,0.0004575656974959998,0.0004560097018539099,1.0034121985470135,0.3156620208372851,chip_main_almon
fx_ret,-0.11511525597724663,0.13794782839874442,-0.8344840024918754,0.4040082984220815,chip_main_almon
nvda_ret,0.00504744424494653,0.00801235792544705,0.6299574097802062,0.528722449935975,chip_main_almon
high_fx_ret,0.14121906178809213,0.08406618159601664,1.6798557887014056,0.09298537753132308,chip_main_almon
low_fx_ret,-0.25734302012983795,0.11060178334406108,-2.326752899899388,0.019978420555042016,chip_main_almon
high_nvda_ret,0.0042394725378871526,0.009166407333121164,0.4625009978084414,0.6437220869453502,chip_main_almon
low_nvda_ret,0.009806574494520447,0.009510186565040366,1.0311653117899506,0.3024633044282312,chip_main_almon
gpu_ret_l1,0.64589497734449,0.26958121052405076,2.3959198643292177,0.0165787144613594,chip_main_almon
