date,group,gpu_ret,fitted,resid,std_resid,abs_std_resid
2024-05-05,high,-0.0020429574849603,0.0004830757944257877,-0.0025260332793860876,-0.3378715492054624,0.3378715492054624
2024-05-12,high,0.0010447785002834,-0.0023731183769548757,0.003417896877238276,0.45716345954779614,0.45716345954779614
2024-05-19,high,-0.0015462900612988,0.0005516564004587797,-0.00209794646175758,-0.2806124634099925,0.2806124634099925
2024-05-26,high,-0.0011233937207412,3.91509935613995e-05,-0.0011625447143025997,-0.15549707394888423,0.15549707394888423
2024-06-02,high,-0.0012349179550861,0.004412858188487352,-0.005647776143573452,-0.7554226980170973,0.7554226980170973
2024-06-09,high,-0.0028314081740126,0.0001547393551275266,-0.0029861475291401264,-0.39941448913604327,0.39941448913604327
2024-06-16,high,-0.0009931148360484,-0.00019284169065045723,-0.0008002731453979428,-0.10704115802023206,0.10704115802023206
2024-06-23,high,0.001679212065542,0.0013843951576123202,0.00029481690792967983,0.039433465198991276,0.039433465198991276
2024-06-30,high,-0.0006452835045944,-0.0013961382818940746,0.0007508547772996746,0.10043116569557606,0.10043116569557606
2024-07-07,high,-0.0024869608530912,-0.0015504973845399798,-0.0009364634685512202,-0.12525740079347594,0.12525740079347594
2024-07-14,high,0.0009581357949737,-0.001508224320458231,0.002466360115431931,0.3298899186720426,0.3298899186720426
2024-07-21,high,0.0002256809711285,-0.0022482194671242513,0.002473900438252751,0.33089848042527453,0.33089848042527453
2024-07-28,high,0.0027090649473888,0.0011350895403824694,0.0015739754070063306,0.2105283067789879,0.2105283067789879
2024-08-04,high,0.0018852747358023,0.004128640861920443,-0.002243366126118143,-0.30006318390658976,0.30006318390658976
2024-08-11,high,0.0005153406534047,-0.0014143888701114524,0.0019297295235161526,0.2581124757851091,0.2581124757851091
2024-08-18,high,0.0003661353680746,0.0005371237510653805,-0.00017098838299078048,-0.02287068437644358,0.02287068437644358
2024-08-25,high,0.0015603125850234,0.00040310702449662336,0.0011572055605267766,0.15478293127609968,0.15478293127609968
2024-09-01,high,-0.0037105452906187,-0.0008276912444960685,-0.0028828540461226316,-0.38559838884363895,0.38559838884363895
2024-09-08,high,-0.0003108174803126,-0.004008912595773977,0.0036980951154613768,0.49464159319142276,0.49464159319142276
2024-09-15,high,0.0021649159023033,-7.720393858334786e-05,0.002242119840886648,0.2998964860545253,0.2998964860545253
2024-09-22,high,0.0028153259092772,0.0014636169764274546,0.0013517089328497454,0.18079888137016173,0.18079888137016173
2024-09-29,high,3.394253648121066e-05,0.003668218880646603,-0.0036342763441653925,-0.4861054637183369,0.4861054637183369
2024-10-06,high,-0.0007450335546018,0.0001725328740098901,-0.0009175664286116901,-0.12272981249451329,0.12272981249451329
2024-10-13,high,-0.0010669518134273,0.002702809570695483,-0.003769761384122783,-0.5042273707882599,0.5042273707882599
2024-10-20,high,-0.0007212564883559,-0.00012287123263240505,-0.0005983852557234949,-0.08003748605487099,0.08003748605487099
2024-10-27,high,-0.0004101855188865,0.0018318324079377518,-0.0022420179268242517,-0.29988285445971274,0.29988285445971274
2024-11-03,high,-0.0001663291388744,0.002158198183448101,-0.002324527322322501,-0.31091896293401394,0.31091896293401394
2024-11-10,high,0.0015698218971745,-0.0005461837590520821,0.002116005656226582,0.28302798503531623,0.28302798503531623
2024-11-17,high,0.0007365709173316,0.005597056668120057,-0.004860485750788457,-0.6501180581869003,0.6501180581869003
2024-11-24,high,0.0041113398521545,0.0035337104613687126,0.0005776293907857875,0.07726126917014851,0.07726126917014851
2024-12-01,high,0.0015895943395237,0.0061920944957235624,-0.004602500156199863,-0.6156109939974985,0.6156109939974985
2024-12-08,high,-2.340298854054645e-05,0.003678277747082973,-0.0037016807356235193,-0.49512119060960874,0.49512119060960874
2024-12-15,high,0.0075941390547318,0.0010767619850145346,0.0065173770697172645,0.8717368473612109,0.8717368473612109
2024-12-22,high,0.0026747995408164,0.008211602698356994,-0.005536803157540593,-0.7405794198161106,0.7405794198161106
2024-12-29,high,0.0028512666372602,0.0015916137304640243,0.001259652906796176,0.16848585588857462,0.16848585588857462
2025-01-05,high,0.006063983473688,0.0035577547621234856,0.002506228711564514,0.33522257380762205,0.33522257380762205
2025-01-12,high,0.0193442056658885,0.00501403191413984,0.014330173751748661,1.9167435541718145,1.9167435541718145
2025-01-19,high,0.0012199754224303,0.01170902727580507,-0.01048905185337477,-1.4029713022060666,1.4029713022060666
2025-01-26,high,0.004038088039949,0.001525691353531857,0.0025123966864171433,0.3360475760892328,0.3360475760892328
2025-02-02,high,-0.0009465573481185,0.0019474195252336248,-0.0028939768733521245,-0.38708613126502417,0.38708613126502417
2025-02-09,high,0.0122854360045331,0.0004888973177260576,0.011796538686807042,1.577855222217156,1.577855222217156
2025-02-16,high,0.0262991653331438,0.00833550955514893,0.017963655777994872,2.402742773278053,2.402742773278053
2025-02-23,high,0.0096403173018167,0.01708783484433442,-0.007447517542517721,-0.9961485109320762,0.9961485109320762
2025-03-02,high,0.0063314200319886,0.004641766184730492,0.0016896538472581085,0.22600096667483796,0.22600096667483796
