block,base_group,group,lag_week,term_label,coef,se,p_value
vram_proxy,mid,mid,0,mid_l0,-0.012701218345004634,0.018632696493597018,0.495452117583268
vram_proxy,mid,high,0,high_l0,0.0003528234926776959,0.020649237831447207,0.9863675975589363
vram_proxy,mid,low,0,low_l0,-0.008592483707788751,0.007978861600183669,0.28152227479575
vram_proxy,mid,mid,1,mid_l1,0.018671181059294335,0.017125433099382324,0.2755984661331392
vram_proxy,mid,high,1,high_l1,0.014361053427725819,0.017517275780623648,0.4123174129742092
vram_proxy,mid,low,1,low_l1,0.004516785687632134,0.008001378014483284,0.5724132370395855
vram_proxy,mid,mid,2,mid_l2,0.03394113868773118,0.02250334049272737,0.13148515016571763
vram_proxy,mid,high,2,high_l2,0.03727490187375674,0.019797389927711885,0.05972490148912482
vram_proxy,mid,low,2,low_l2,0.004478737830756602,0.007993402041238934,0.5752718697137025
vram_proxy,mid,mid,3,mid_l3,-0.02129857526835183,0.01116602214247338,0.05646296176588911
vram_proxy,mid,high,3,high_l3,-0.019018791871673518,0.009803837557376068,0.05238778499447002
vram_proxy,mid,low,3,low_l3,-0.012996275936615296,0.010664439274791115,0.22297503292869203
vram_proxy,mid,mid,4,mid_l4,0.007283162054737548,0.016356247595291532,0.656115116612743
vram_proxy,mid,high,4,high_l4,0.005213284756849334,0.014442668347157019,0.7181262856258718
vram_proxy,mid,low,4,low_l4,0.009991334164030865,0.009360441930611264,0.28579132334157487
vram_proxy,mid,mid,5,mid_l5,0.0030119176635853995,0.011564948371194973,0.7945282257397932
vram_proxy,mid,high,5,high_l5,0.0076224484209931245,0.013992049229921723,0.5859117258417097
vram_proxy,mid,low,5,low_l5,-0.005577739683308909,0.007770746261648589,0.47288870668764527
vram_proxy,mid,mid,6,mid_l6,-0.027757415703041702,0.014170119174099906,0.05012805982577666
vram_proxy,mid,high,6,high_l6,-0.020384200688429405,0.011020305225866464,0.06435755803007892
vram_proxy,mid,low,6,low_l6,-0.003973403230406004,0.010288781106976575,0.6993574811892421
vram_proxy,mid,mid,7,mid_l7,0.0384488312700719,0.012821000639423394,0.0027096090862405568
vram_proxy,mid,high,7,high_l7,0.018870995118728792,0.013669410434487099,0.16742433114571753
vram_proxy,mid,low,7,low_l7,-0.00420203511720961,0.007913856254155199,0.5954382669725379
vram_proxy,mid,mid,8,mid_l8,0.009371159505782963,0.014368158949909329,0.5142611057964024
vram_proxy,mid,high,8,high_l8,0.003654165540067549,0.02699390380048313,0.8923193193831033
vram_proxy,mid,low,8,low_l8,0.01542416818802746,0.006892850309682488,0.025240274507749197
