term,coef,se,t,p_value,block,base_group
const,0.00035076215749446074,0.0005021036156362052,0.6985852054660415,0.48481129212665985,vram_proxy,mid
is_high,-0.0002977353406959933,0.0005306472546350727,-0.5610795836506242,0.5747432854750696,vram_proxy,mid
is_low,-8.249490516607047e-05,0.0005644730534636566,-0.14614498364425801,0.8838069358003943,vram_proxy,mid
btc_krw_ret_l0,-0.012701218345004634,0.018632696493597018,-0.6816629224529746,0.495452117583268,vram_proxy,mid
btc_krw_ret_l1,0.018671181059294335,0.017125433099382324,1.0902603718657347,0.2755984661331393,vram_proxy,mid
btc_krw_ret_l2,0.03394113868773118,0.02250334049272737,1.5082711252891667,0.13148515016571763,vram_proxy,mid
btc_krw_ret_l3,-0.02129857526835183,0.01116602214247338,-1.9074451936949137,0.05646296176588907,vram_proxy,mid
btc_krw_ret_l4,0.007283162054737548,0.016356247595291532,0.44528318688659063,0.656115116612743,vram_proxy,mid
btc_krw_ret_l5,0.0030119176635853995,0.011564948371194973,0.2604350289264791,0.7945282257397932,vram_proxy,mid
btc_krw_ret_l6,-0.027757415703041702,0.014170119174099906,-1.9588696017304221,0.050128059825776616,vram_proxy,mid
btc_krw_ret_l7,0.0384488312700719,0.012821000639423394,2.9988947314958625,0.0027096090862405568,vram_proxy,mid
btc_krw_ret_l8,0.009371159505782963,0.014368158949909329,0.6522171378012281,0.5142611057964024,vram_proxy,mid
high_btc_l0,0.01305404183768233,0.015078585606144213,0.8657338412671197,0.38663613728196844,vram_proxy,mid
high_btc_l1,-0.004310127631568517,0.011107353793304181,-0.3880427068206633,0.6979844294985624,vram_proxy,mid
high_btc_l2,0.0033337631860255595,0.015891478588522023,0.20978307131429827,0.8338369862055051,vram_proxy,mid
high_btc_l3,0.002279783396678312,0.00691438295530618,0.32971610213298624,0.7416144857770648,vram_proxy,mid
high_btc_l4,-0.0020698772978882136,0.007683577691062354,-0.26938977922952795,0.7876297505418872,vram_proxy,mid
high_btc_l5,0.004610530757407725,0.010699444769370122,0.4309130853786488,0.6665315685170325,vram_proxy,mid
high_btc_l6,0.007373215014612296,0.007917452504910003,0.9312610350412336,0.35171855248901585,vram_proxy,mid
high_btc_l7,-0.019577836151343106,0.008995276746252261,-2.176457345739796,0.029521079805191648,vram_proxy,mid
high_btc_l8,-0.005716993965715414,0.017829452944423976,-0.32064887147888405,0.7484764974553832,vram_proxy,mid
low_btc_l0,0.0041087346372158835,0.01562796638812169,0.2629091037934916,0.7926206392794819,vram_proxy,mid
low_btc_l1,-0.014154395371662201,0.013989134060674981,-1.0118135483061663,0.3116272108095577,vram_proxy,mid
low_btc_l2,-0.029462400856974578,0.021415836254631983,-1.3757296472885676,0.16890534959998404,vram_proxy,mid
low_btc_l3,0.008302299331736535,0.012092363218617662,0.6865737640889034,0.49235136609177477,vram_proxy,mid
low_btc_l4,0.002708172109293317,0.013422695019369267,0.20176068258910454,0.8401038201255637,vram_proxy,mid
low_btc_l5,-0.008589657346894309,0.009188109205804281,-0.9348667015699029,0.34985699940670834,vram_proxy,mid
low_btc_l6,0.023784012472635698,0.01617075870637923,1.4708037454824616,0.14134419924274233,vram_proxy,mid
low_btc_l7,-0.04265086638728151,0.011949711644729643,-3.5691962831665855,0.00035807807571658,vram_proxy,mid
low_btc_l8,0.006053008682244497,0.014998845958183541,0.40356496087233346,0.6865326562944365,vram_proxy,mid
fx_ret,-0.15972641871461024,0.1446131709735598,-1.1045081000527515,0.26937279180197937,vram_proxy,mid
nvda_ret,0.015202492484034892,0.01350257640194237,1.1258956832747848,0.26020967674918105,vram_proxy,mid
high_fx_ret,0.15554748779669034,0.08900863293645027,1.7475550703912843,0.08054110107925455,vram_proxy,mid
low_fx_ret,0.08856718386850551,0.13662431497101113,0.6482534524494974,0.5168210348300167,vram_proxy,mid
high_nvda_ret,0.007149918927070254,0.009410123871546903,0.7598113504849006,0.4473673572274801,vram_proxy,mid
low_nvda_ret,-0.011365708795556727,0.011571292042273336,-0.9822333369544599,0.3259849075928505,vram_proxy,mid
gpu_ret_l1,0.7128626047184672,0.23353151104919342,3.052532831718383,0.0022691890620150142,vram_proxy,mid
