chip_perf_group,mean_active_product_n,median_active_product_n,max_new_product_share,mean_new_product_share,max_bridge_ratio,mean_bridge_ratio
high,303.4,271.0,1.0,0.02704311764073386,0.03333333333333333,0.004592929454863651
low,43.68571428571428,44.0,1.0,0.029167510205047684,0.06896551724137931,0.010518683378523179
mid,338.2190476190476,317.0,1.0,0.027019726009278402,0.024305555555555556,0.004883810743592702
