block,test,estimate,se,t,p_value
chip_main,mid_cumulative_BTC_effect,0.04470128249116651,0.025610309447831638,1.7454409358943246,0.08090814524304492
chip_main,high_cumulative_BTC_effect,0.037590121727549816,0.03080393343773499,1.2203026539948858,0.22235016408851171
chip_main,low_cumulative_BTC_effect,0.05188776482144468,0.038586268799511436,1.344720970328742,0.1787153599577318
chip_main,high_minus_mid_cumulative_BTC_effect,-0.007111160763616684,0.02399290829364022,-0.2963859435707356,0.7669353587674799
chip_main,low_minus_mid_cumulative_BTC_effect,0.00718648233027817,0.027130727703869546,0.2648835080547136,0.7910992033504652
chip_main,high_minus_low_cumulative_BTC_effect,-0.014297643093894852,0.03668992296995106,-0.38968855578150385,0.6967668600105851
vram_proxy,mid_cumulative_BTC_effect,0.04897018092480515,0.029067776486364362,1.6846896062991599,0.09204847285706123
vram_proxy,high_cumulative_BTC_effect,0.04794668007069613,0.03452503086456545,1.3887512587253297,0.16490840131541762
vram_proxy,low_cumulative_BTC_effect,-0.0009309118048814978,0.019941178439823175,-0.04668288826012594,0.962765968665943
vram_proxy,high_minus_mid_cumulative_BTC_effect,-0.0010235008541090267,0.022314432005797902,-0.04586721516564227,0.9634160851705443
vram_proxy,low_minus_mid_cumulative_BTC_effect,-0.049901092729686666,0.0346369753080164,-1.4406885210365794,0.14967269929572877
vram_proxy,high_minus_low_cumulative_BTC_effect,0.048877591875577636,0.04099035468966119,1.1924169050409756,0.2330978149649029
