block,test,F_stat,p_value,df_num,df_denom
chip_main_composition_control,high_vs_mid_BTC_lags_joint_zero,0.6387416126510387,0.761344443570993,9.0,96.0
chip_main_composition_control,low_vs_mid_BTC_lags_joint_zero,0.8802463085431399,0.5457339588493209,9.0,96.0
chip_main_composition_control,high_vs_low_BTC_lags_joint_zero,0.43407389767390936,0.9135628388937201,9.0,96.0
chip_main_composition_control,all_group_BTC_interactions_joint_zero,0.7019609525556676,0.8013770768393988,18.0,96.0
