term,coef,se,t,p_value,block,base_group
const,0.0003394991255948596,0.0004940445507535658,0.6871832207784132,0.49196727663152906,chip_main,mid
is_high,-0.00017976352697197083,0.00048748235490998385,-0.36875904360715805,0.7123073349053527,chip_main,mid
is_low,0.00044735990264807985,0.0005573486076993363,0.8026572534104359,0.4221728664923181,chip_main,mid
btc_krw_ret_l0,-0.01353083324696326,0.017928746305960443,-0.7547004690709974,0.4504287250105622,chip_main,mid
btc_krw_ret_l1,0.018921537312774597,0.018134209151722463,1.0434167354343848,0.29675532591807874,chip_main,mid
btc_krw_ret_l2,0.029987278572238353,0.02088624483367193,1.435742940439639,0.15107550157104002,chip_main,mid
btc_krw_ret_l3,-0.01717724015267212,0.00939389252702436,-1.8285540422414475,0.06746644279777508,chip_main,mid
btc_krw_ret_l4,0.002825204500871662,0.014455078397525106,0.1954471932407764,0.845042874055584,chip_main,mid
btc_krw_ret_l5,0.005725153520364701,0.011715700154469851,0.4886736127486502,0.6250727880676976,chip_main,mid
btc_krw_ret_l6,-0.02387973566552464,0.012849057718532165,-1.8584814691183897,0.0631006725171524,chip_main,mid
btc_krw_ret_l7,0.03055887343187133,0.012542359300947322,2.4364533576679808,0.0148320821411544,chip_main,mid
btc_krw_ret_l8,0.011271044218205892,0.016705995430807506,0.6746706154019995,0.4998850575612739,chip_main,mid
high_btc_l0,0.011628120912420695,0.015245415252635256,0.7627290381881011,0.4456250089921352,chip_main,mid
high_btc_l1,-0.009868146813770157,0.011162923532829062,-0.8840109658324636,0.3766902932880334,chip_main,mid
high_btc_l2,-0.0005216696163887757,0.0155407722935996,-0.03356780516008352,0.9732217955529766,chip_main,mid
high_btc_l3,0.003893790218069481,0.008196535654685649,0.4750531666196741,0.6347490784684966,chip_main,mid
high_btc_l4,0.006879493703127921,0.008091723206807549,0.8501889557146762,0.39522004101636055,chip_main,mid
high_btc_l5,0.003129826504570537,0.011582135477844658,0.27022879421135665,0.7869842418615653,chip_main,mid
high_btc_l6,0.006382373134675514,0.008078384086725513,0.7900556678362319,0.42949525860499005,chip_main,mid
high_btc_l7,-0.017114838806408912,0.01007619297637912,-1.6985421822041296,0.08940547832752219,chip_main,mid
high_btc_l8,-0.011520109999912986,0.01712520774745527,-0.6726989926078312,0.5011388086245343,chip_main,mid
low_btc_l0,0.014645945863261707,0.011789625543451995,1.242274049271745,0.21413546667457306,chip_main,mid
low_btc_l1,-0.021898280151975057,0.013929339907150149,-1.572097478986375,0.11592794608677123,chip_main,mid
low_btc_l2,0.013947469411994508,0.015221708243340671,0.9162880531556878,0.3595158323936122,chip_main,mid
low_btc_l3,-0.0012006887263111814,0.010806720033086033,-0.11110574925926951,0.9115324897225208,chip_main,mid
low_btc_l4,-0.0061320305146888385,0.015952598263456,-0.3843907063550903,0.7006888876878523,chip_main,mid
low_btc_l5,-0.0033262038663275963,0.012403655940967111,-0.2681631836740751,0.7885737125884457,chip_main,mid
low_btc_l6,0.010696625751043375,0.013968432009146806,0.7657714011163896,0.4438123337645451,chip_main,mid
low_btc_l7,-0.01659325373989111,0.011723214484290253,-1.4154184214685293,0.1569458516082472,chip_main,mid
low_btc_l8,0.017046898303172364,0.014158153752633431,1.204033986422956,0.22857644274556388,chip_main,mid
fx_ret,-0.11271826716601356,0.13842525425925425,-0.8142897607029529,0.4154789741476096,chip_main,mid
nvda_ret,0.01540182167805641,0.012664511109168549,1.2161402477594392,0.2239315009025512,chip_main,mid
high_fx_ret,0.1466341310406491,0.08814707584217171,1.6635166809526283,0.09620905460821672,chip_main,mid
low_fx_ret,-0.25492297371976647,0.10754258330873638,-2.370437512998234,0.017767046917821935,chip_main,mid
high_nvda_ret,-8.919814090469153e-05,0.010375782147860807,-0.008596763080948231,0.9931408599516333,chip_main,mid
low_nvda_ret,0.009607709248374719,0.011527336835457232,0.8334717190550136,0.40457874126969073,chip_main,mid
gpu_ret_l1,0.6511538587460142,0.2603351783200781,2.5012134854300427,0.012376854450351436,chip_main,mid
