cat,n,ai_p,crypto_p,ai_pr2,crypto_pr2,ai_sens,crypto_sens,ai_rmse_gain,crypto_rmse_gain,ai_minus_crypto_loss,loss_p,ai_cum,crypto_cum,r2_win,sens_win,rmse_win,judgment,support_level,sentence
GPU,98,0.5746698710465625,0.48471123475789435,0.023910120676508436,0.07260034668622127,0.001051515193787004,0.001997484007875252,5.212458909106821e-05,0.00013012733105081942,1.8049674608301812e-06,0.5647085565925911,0.001133939034697227,0.0018675210893460124,Crypto,Crypto,Crypto,Crypto,Core+Diagnostic,Crypto channel has stronger in-sample explanatory power and standardized sensitivity.
CPU,98,0.0005517332982553848,0.0823586246370973,0.08121142855326707,0.021244612443680602,0.001718629249779968,0.0008799350462751073,0.00015382736371531182,-0.0006094544171915493,-7.618286074882415e-06,0.011532556967520428,0.0013820811798962713,-0.0005073197064966841,AI,AI,AI,AI,Core+Diagnostic,AI channel has stronger in-sample explanatory power and standardized sensitivity.
RAM,98,0.5652414056134123,0.09477184400399467,0.04121512415998829,0.03276932513196791,0.0038600195166814985,0.0037578408065513428,0.0003511041524879993,2.7903332245317325e-05,-2.1397914899248655e-05,0.3456265033659788,0.003639310613492406,-0.006499094832749731,AI,AI,AI,AI,Core+Diagnostic,AI channel has stronger in-sample explanatory power and standardized sensitivity.
