date,cat,ret
2024-03-10,CPU,-0.001477993448885
2024-03-17,CPU,0.0005075535352144
2024-03-24,CPU,0.0006733549823636
2024-03-31,CPU,0.001044098580576
2024-04-07,CPU,-0.0086746720647496
2024-04-14,CPU,0.0006425134444731
2024-04-21,CPU,-0.0051642772684121
2024-04-28,CPU,-0.0043474434548666
2024-05-05,CPU,-0.0029576162654787
2024-05-12,CPU,0.0005006047730786
2024-05-19,CPU,-0.0018316731189174
2024-05-26,CPU,-0.0052687462173019
2024-06-02,CPU,-0.0050960964156617
2024-06-09,CPU,0.0036266217650564
2024-06-16,CPU,-0.0030563793408595
2024-06-23,CPU,0.0035696524545059
2024-06-30,CPU,0.0028178225272856
2024-07-07,CPU,-0.0006174303482507
2024-07-14,CPU,0.0012314577829501
2024-07-21,CPU,0.0016190569427103
2024-07-28,CPU,-0.0023982811042188
2024-08-04,CPU,0.0019553757544536
2024-08-11,CPU,-0.0015206390062077
2024-08-18,CPU,-0.002254771422267
2024-08-25,CPU,0.0003807230783203
2024-09-01,CPU,-0.0094133736070338
2024-09-08,CPU,-0.0011562714324036
2024-09-15,CPU,0.0005200445162088
2024-09-22,CPU,0.008895654595767
2024-09-29,CPU,0.0016139360787972
2024-10-06,CPU,-0.0091944516250836
2024-10-13,CPU,-0.0081183672585452
2024-10-20,CPU,-0.0011139090634764
2024-10-27,CPU,-0.0101064529943718
2024-11-03,CPU,-0.0034039266253489
2024-11-10,CPU,0.0025777891798245
2024-11-17,CPU,0.0008760319031084
2024-11-24,CPU,0.0082412791897363
2024-12-01,CPU,-0.0025387551055393
2024-12-08,CPU,-0.0023341567840128
2024-12-15,CPU,0.0018955704194375
2024-12-22,CPU,0.0009413219650431
2024-12-29,CPU,0.0033617910362676
2025-01-05,CPU,0.0035747122492813
2025-01-12,CPU,0.0030141865707016
2025-01-19,CPU,0.0058731366579346
2025-01-26,CPU,0.0071239709467199
2025-02-02,CPU,-0.007777659513259
2025-02-09,CPU,-0.0313472620826506
2025-02-16,CPU,0.0063149699298609
2025-02-23,CPU,-0.0040326591973355
2025-03-02,CPU,-0.0031555589717701
2025-03-09,CPU,0.0045714507174144
2025-03-16,CPU,-0.00149426247652
2025-03-23,CPU,-0.0118113690815318
2025-03-30,CPU,-0.0065214907917145
2025-04-06,CPU,-0.0026173372412712
