Id,Name,cpu_model,cpu_codename,sale_info,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-14,2026-02-15,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-21,2026-02-22,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28
2783185,인텔 셀러론 G1850 (하스웰 리프레시),인텔 셀러론 G1850,하스웰 리프레시,"_벌크_3,240|_중고 | _벌크_3,330|_중고 | _벌크_3,340|_중고",1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
4033502,인텔 셀러론 G3900 (스카이레이크),인텔 셀러론 G3900,스카이레이크,"벌크 + 쿨러_21,560|_벌크_3,790|_중고 | 벌크 + 쿨러_21,590|_벌크_3,790|_중고 | 벌크 + 쿨러_21,620|_벌크_3,790|_중고 | 벌크 + 쿨러_21,740|_벌크_3,790|_중고 | 벌크 + 쿨러_21,830|_벌크_3,790|_중고 | 벌크 + 쿨러_22,190|_벌크_3,790|_중고 | 벌크 + 쿨러_22,350|_벌크_3,790|_중고 | 벌크 + 쿨러_22,410|_벌크_3,790|_중고 | 벌크 + 쿨러_22,450|_벌크_3,790|_중고 | 벌크 + 쿨러_22,530|_벌크_3,800|_중고 | 벌크 + 쿨러_22,630|_벌크_3,790|_중고 | 벌크 + 쿨러_22,710|_벌크_3,790|_중고 | 벌크 + 쿨러_22,740|_벌크_3,790|_중고 | 벌크 + 쿨러_22,840|_벌크_3,790|_중고 | 벌크 + 쿨러_22,850|_벌크_3,790|_중고 | 벌크 + 쿨러_22,940|_벌크_3,790|_중고 | 벌크 + 쿨러_22,970|_벌크_3,790|_중고",3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190,3190
4881161,인텔 셀러론 G3930 (카비레이크),인텔 셀러론 G3930,카비레이크,"벌크 + 쿨러_5,950|_벌크_2,040|해외구매_18,810|_중고 | 벌크 + 쿨러_6,050|_벌크_2,050|해외구매_18,810|_중고 | 벌크 + 쿨러_6,080|_벌크_2,060|해외구매_18,810|_중고 | 벌크 + 쿨러_6,090|_벌크_2,060|해외구매_18,810|_중고 | 벌크 + 쿨러_6,250|_벌크_2,290|해외구매_18,810|_중고 | 벌크 + 쿨러_6,280|_벌크_2,040|해외구매_18,810|_중고 | 벌크 + 쿨러_6,340|_벌크_2,290|해외구매_18,810|_중고 | 벌크 + 쿨러_6,390|_벌크_2,150|해외구매_18,810|_중고 | 벌크 + 쿨러_6,400|_벌크_2,040|해외구매_18,810|_중고 | 벌크 + 쿨러_6,450|_벌크_2,290|해외구매_18,810|_중고 | 벌크 + 쿨러_6,490|_벌크_2,290|해외구매_18,810|_중고 | 벌크 + 쿨러_6,570|_벌크_2,290|해외구매_18,810|_중고 | 벌크 + 쿨러_6,590|_벌크_2,290|해외구매_18,810|_중고 | 벌크 + 쿨러_6,660|_벌크_2,290|해외구매_18,810|_중고 | 벌크 + 쿨러_6,670|_벌크_2,290|해외구매_18,810|_중고 | 벌크 + 쿨러_6,690|_벌크_2,290|해외구매_18,810|_중고",2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2050,2030,2040,2060,2050,2050,2050,2050,2050,2050,2040,2040,2040,2040,2140,2140,2140,2020
6060282,인텔 셀러론 G4900 (커피레이크),인텔 셀러론 G4900,커피레이크,"_벌크 + 쿨러_20,770|벌크_7,660|해외구매_6,200|_중고 | 벌크 + 쿨러_20,440|_벌크_7,660|해외구매_6,200|_중고 | 벌크 + 쿨러_20,570|_벌크_7,660|해외구매_6,200|_중고 | 벌크 + 쿨러_20,640|_벌크_7,660|해외구매_6,200|_중고 | 벌크 + 쿨러_20,660|_벌크_7,660|해외구매_6,200|_중고 | 벌크 + 쿨러_20,760|_벌크_7,660|해외구매_6,200|_중고 | 벌크 + 쿨러_20,770|_벌크_7,660|해외구매_6,200|_중고 | 벌크 + 쿨러_20,800|_벌크_7,660|해외구매_6,200|_중고 | 벌크 + 쿨러_20,810|_벌크_7,660|해외구매_6,200|_중고 | 벌크 + 쿨러_20,890|_벌크_7,660|해외구매_6,200|_중고 | 벌크 + 쿨러_20,980|_벌크_7,660|해외구매_6,200|_중고 | 벌크 + 쿨러_21,010|_벌크_7,660|해외구매_6,200|_중고 | 벌크 + 쿨러_21,160|_벌크_7,660|해외구매_6,200|_중고 | 벌크 + 쿨러_21,230|_벌크_7,660|해외구매_6,200|_중고 | 벌크 + 쿨러_21,330|_벌크_7,660|해외구매_6,200|_중고 | 벌크 + 쿨러_21,670|_벌크_7,630|해외구매_6,200|_중고 | 벌크 + 쿨러_21,800|_벌크_7,660|해외구매_6,200|_중고 | 벌크 + 쿨러_22,200|_벌크_7,660|해외구매_6,200|_중고",4690,4690,4690,4690,4690,4690,4690,4690,4690,4690,4590,4690,4690,4690,4690,4590,4590,4590,4590,4590,4590,4590,4590,4590,4700,4700,4700,4590
9642015,인텔 셀러론 G4930 (커피레이크-R),인텔 셀러론 G4930,커피레이크-R,"_벌크 + 쿨러_28,890|_벌크_8,850|해외구매 | _벌크 + 쿨러_28,890|_벌크_8,890|해외구매 | _벌크 + 쿨러_28,890|_벌크_8,960|해외구매 | _벌크 + 쿨러_28,890|_벌크_8,970|해외구매 | 벌크 + 쿨러_28,890|_벌크_8,790|_해외구매 | 벌크 + 쿨러_28,890|_벌크_8,840|_해외구매 | 벌크 + 쿨러_28,890|_벌크_8,860|_해외구매 | 벌크 + 쿨러_28,890|_벌크_8,890|_해외구매 | 벌크 + 쿨러_28,890|_벌크_8,960|_해외구매 | 벌크 + 쿨러_28,890|_벌크_8,980|_해외구매",17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530,17530
1512435,인텔 셀러론 G530 (샌디브릿지),인텔 셀러론 G530,샌디브릿지,"_벌크 + 쿨러_15,370|_중고 | _벌크 + 쿨러_15,480|_중고 | _벌크 + 쿨러_15,570|_중고 | _벌크 + 쿨러_15,590|_중고 | _벌크 + 쿨러_15,650|_중고 | _벌크 + 쿨러_15,690|_중고 | _벌크 + 쿨러_15,850|_중고 | _벌크 + 쿨러_15,970|_중고 | _벌크 + 쿨러_15,990|_중고 | _벌크 + 쿨러_16,030|_중고 | _벌크 + 쿨러_16,070|_중고 | _벌크 + 쿨러_16,150|_중고 | _벌크 + 쿨러_16,170|_중고 | _벌크 + 쿨러_16,190|_중고 | _벌크 + 쿨러_16,220|_중고 | _벌크 + 쿨러_16,250|_중고 | _벌크 + 쿨러_16,340|_중고 | _벌크 + 쿨러_16,350|_중고 | _벌크 + 쿨러_16,370|_중고 | _벌크 + 쿨러_16,430|_중고 | _벌크 + 쿨러_16,550|_중고",1790,1790,1790,1790,1790,1790,1800,1800,0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
1705460,인텔 셀러론 G540 (샌디브릿지),인텔 셀러론 G540,샌디브릿지,"_벌크 + 쿨러_15,390|_중고 | _벌크 + 쿨러_15,430|_중고 | _벌크 + 쿨러_15,480|_중고 | _벌크 + 쿨러_15,490|_중고 | _벌크 + 쿨러_15,530|_중고 | _벌크 + 쿨러_15,570|_중고 | _벌크 + 쿨러_15,630|_중고 | _벌크 + 쿨러_15,720|_중고 | _벌크 + 쿨러_15,750|_중고 | _벌크 + 쿨러_15,790|_중고 | _벌크 + 쿨러_15,960|_중고 | _벌크 + 쿨러_15,990|_중고 | _벌크 + 쿨러_16,050|_중고 | _벌크 + 쿨러_16,090|_중고",1330,1330,1330,1330,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,0,1800,1800
11480157,인텔 셀러론 G5900 (코멧레이크S),인텔 셀러론 G5900,코멧레이크S,"_벌크_36,000|해외구매_85,030|_중고 | 벌크_36,000|_해외구매_85,030|_중고",34490,34490,34490,34490,34490,34490,34490,34490,34490,34490,34390,34390,34390,34390,34390,34390,34390,34390,34390,34390,34390,34390,34390,34390,34390,34390,34390,34390
12122969,인텔 셀러론 G5905 (코멧레이크S),인텔 셀러론 G5905,코멧레이크S,"_정품_86,240|_벌크 + 쿨러_47,448|벌크_44,130|해외구매_82,290|중고 | _정품_86,240|_벌크 + 쿨러_48,650|벌크_44,130|해외구매_82,290|중고 | _정품_86,240|_벌크 + 쿨러_48,760|벌크_44,130|해외구매_82,290|중고 | _정품_86,240|_벌크 + 쿨러_48,840|벌크_44,130|해외구매_82,290|중고 | _정품_86,240|_벌크 + 쿨러_48,870|벌크_44,130|해외구매_84,520|중고 | _정품_86,240|_벌크 + 쿨러_48,940|벌크_44,130|해외구매_82,290|중고 | _정품_86,240|_벌크 + 쿨러_48,980|벌크_44,130|해외구매_82,290|중고 | _정품_86,240|_벌크 + 쿨러_49,000|벌크_44,130|해외구매_82,290|중고 | _정품_86,240|_벌크 + 쿨러_49,070|벌크_44,130|해외구매_82,290|중고 | _정품_86,240|_벌크 + 쿨러_49,100|벌크_44,130|해외구매_82,290|중고 | _정품_86,240|_벌크 + 쿨러_49,110|벌크_44,130|해외구매_84,520|중고 | _정품_86,240|_벌크 + 쿨러_49,230|벌크_44,130|해외구매_84,520|중고 | _정품_86,240|_벌크 + 쿨러_49,470|벌크_44,130|해외구매_84,520|중고 | _정품_86,240|_벌크 + 쿨러_49,540|벌크_44,130|해외구매_82,290|중고 | _정품_86,240|_벌크 + 쿨러_49,540|벌크_44,130|해외구매_84,520|중고",38000,38000,38000,38000,38000,24900,24900,24900,24900,24900,24900,24900,24900,24900,24900,24900,24900,24900,24900,24900,24900,38000,38000,38000,38000,38000,38000,38000
12387029,인텔 셀러론 G5925 (코멧레이크S),인텔 셀러론 G5925,코멧레이크S,"_정품_79,550|병행수입 박스_93,260|벌크 + 쿨러_95,990|_벌크 | _정품_79,550|병행수입 박스_93,330|벌크 + 쿨러_95,310|_벌크 | _정품_79,550|병행수입 박스_98,760|벌크 + 쿨러_100,610|_벌크 | _정품_79,550|병행수입 박스_98,790|벌크 + 쿨러_100,610|_벌크 | _정품_79,550|병행수입 박스_98,860|벌크 + 쿨러_100,610|_벌크 | _정품_79,550|병행수입 박스_98,960|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_102,760|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_103,000|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_103,120|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_103,220|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_103,330|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_103,360|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_103,710|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_104,070|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_104,430|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_104,560|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_104,800|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_104,920|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_105,270|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_105,630|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_97,850|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_98,210|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_98,550|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_98,590|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_98,660|벌크 + 쿨러_100,610|_벌크 | _정품_98,640|병행수입 박스_98,690|벌크 + 쿨러_100,610|_벌크",87620,87590,95310,95310,95310,95310,95310,95310,95310,95310,95310,95310,95310,95310,95310,95310,95310,95250,95250,95250,95250,95250,95250,95250,95310,95310,95310,95310
