Id,Name,cpu_model,cpu_codename,sale_info,2025-02-01,2025-02-02,2025-02-03,2025-02-04,2025-02-05,2025-02-06,2025-02-07,2025-02-08,2025-02-09,2025-02-10,2025-02-11,2025-02-12,2025-02-13,2025-02-14,2025-02-15,2025-02-16,2025-02-17,2025-02-18,2025-02-19,2025-02-20,2025-02-21,2025-02-22,2025-02-23,2025-02-24,2025-02-25,2025-02-26,2025-02-27,2025-02-28
15834833,AMD A4 3400 (라노),AMD A4 3400,라노,중고,1170,1160,1150,1150,1240,1210,1200,0,1170,1160,1160,1190,1230,1170,1160,1160,1160,1160,1160,1180,1180,1160,1160,1160,1160,1160,1160,1160
18170813,AMD A4 7300 (리치랜드),AMD A4 7300,리치랜드,중고,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,0,1990,0,0,1990,1990,1990,1990,0,0,0,0,0,0,0,1500,1500
9736752,AMD EPYC 7302 (롬),AMD EPYC 7302,롬,정품,1983270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16909040,AMD EPYC 7543 (밀라노),AMD EPYC 7543,밀라노,정품,1702060,1702050,1702040,1702010,1702000,1701970,1701960,1701930,1701920,1701890,1701880,1701850,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1653650,1653620
9736071,AMD EPYC 7742 (롬),AMD EPYC 7742,롬,정품,0,0,0,12799910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16908977,AMD EPYC 7763 (밀라노),AMD EPYC 7763,밀라노,정품,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,0,0,0,0,0,0,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990
28159028,AMD FX 4100 (잠베지),AMD FX 4100,잠베지,중고,0,0,0,3720,3690,3570,3560,3600,3590,3590,3590,3670,3700,3640,3590,3590,3590,3590,3590,3630,3630,3590,3590,3590,3590,3590,3590,3590
4143917,AMD FX 8300 (비쉐라),AMD FX 8300,비쉐라,중고,22460,22450,22440,22410,22400,22370,22360,22350,22490,22490,22490,22990,22990,22930,22810,22690,22570,22490,22490,22740,22740,22670,22640,22520,22490,22490,22910,22500
5565728,AMD 라이젠 스레드리퍼 1950X (화이트헤븐),AMD 라이젠 스레드리퍼 1950X,화이트헤븐,해외구매,990200,990200,990200,965200,612600,643680,643570,643450,643330,643210,643200,643170,643050,642930,642810,642690,642570,642450,628700,628700,628700,628700,628700,628700,628700,628700,628700,628700
11038053,AMD 라이젠 스레드리퍼 2970WX (콜팩스),AMD 라이젠 스레드리퍼 2970WX,콜팩스,해외구매,1650600,1650600,1650600,1640600,1650590,1650590,1650590,1640600,1640590,1640590,1650590,1650590,1650590,1650590,1650590,1650590,1650590,1650590,1640600,1640590,1640590,1640590,1640590,1640590,1640590,1640590,1640590,1640600
11035740,AMD 라이젠 스레드리퍼 2990WX (콜팩스),AMD 라이젠 스레드리퍼 2990WX,콜팩스,해외구매,5400000,5400000,5400000,5400000,1332130,1332100,1331990,1331890,1356620,1356620,1356620,1356620,1356620,1356620,1356620,1356620,1356620,1356620,1356620,1356620,1356620,1356620,1356620,1356620,1356620,1356620,1356620,1356620
14079716,AMD 라이젠 스레드리퍼 3970X (캐슬 픽),AMD 라이젠 스레드리퍼 3970X,캐슬 픽,해외구매,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100,2732100
30131825,AMD 라이젠 스레드리퍼 7960X (스톰 픽),AMD 라이젠 스레드리퍼 7960X,스톰 픽,"_정품_2,349,990|_멀티팩(정품) | _정품_2,350,000|_멀티팩(정품) | _정품_2,361,690|_멀티팩(정품)",2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390,2264390
30131816,AMD 라이젠 스레드리퍼 7970X (스톰 픽),AMD 라이젠 스레드리퍼 7970X,스톰 픽,"_정품_3,580,000|_멀티팩(정품) | _정품_3,590,000|_멀티팩(정품)",3589990,3589990,3589990,3589990,3589990,3589990,3589990,3590000,3590000,3590000,3590000,3590000,3590000,3590000,3590000,3590000,3590000,3590000,3590000,3590000,3590000,3590000,3590000,3590000,3590000,3590000,3590000,3590000
30131798,AMD 라이젠 스레드리퍼 7980X (스톰 픽),AMD 라이젠 스레드리퍼 7980X,스톰 픽,"_정품_7,300,000|_멀티팩(정품) | _정품_7,849,990|_멀티팩(정품) | _정품_7,878,990|_멀티팩(정품)",7359000,7359000,7359000,7359000,7359000,7359000,7359000,7359000,7359000,7359000,7309250,7309250,7309250,7309250,7309250,7309250,7309250,7309250,7309250,7309250,7309250,7309250,7309250,7309250,7309250,7309250,7309250,7309250
13491257,AMD 라이젠 스레드리퍼 PRO 3955WX (캐슬 픽-W),AMD 라이젠 스레드리퍼 PRO 3955WX,캐슬 픽-W,"_정품_1,339,990|_해외구매 | _정품_1,340,000|_해외구매 | _정품_1,341,080|_해외구매",1832600,1832600,1832600,1832600,1627890,1627890,1627890,1627890,1627890,1627890,1627890,1627890,1627890,1627900,1627900,1627900,1627900,1627900,1627900,1627900,1627900,1627900,1627900,1627900,1627900,1627900,1627900,1627900
18614342,AMD 라이젠 스레드리퍼 PRO 3975WX (캐슬 픽-W),AMD 라이젠 스레드리퍼 PRO 3975WX,캐슬 픽-W,"_벌크_3,892,480|_해외구매_2,299,180|중고 | _벌크_3,892,480|_해외구매_2,865,590|중고",3233790,3233790,3233790,3233790,2772710,2775680,2760780,2775670,2761080,2761080,2761080,2761080,2823840,2817410,2817400,2817400,2817390,2817390,2817390,2823700,2823580,2823560,2823440,2823320,2823220,2823100,2814600,2814600
18000296,AMD 라이젠 스레드리퍼 PRO 3995WX (캐슬 픽-W),AMD 라이젠 스레드리퍼 PRO 3995WX,캐슬 픽-W,해외구매,10998480,10998480,10998480,10998480,5320030,5320030,5320030,5320030,5320030,5320030,5320030,5320030,5320030,5320030,5320030,5320030,5320030,5320030,5320030,5320030,5320030,5320030,5320030,5320030,5320030,5320030,5320030,5320030
18055820,AMD 라이젠 스레드리퍼 PRO 5955WX (샤갈 프로),AMD 라이젠 스레드리퍼 PRO 5955WX,샤갈 프로,"_정품_1,637,970|_벌크_1,640,000|해외구매 | _정품_1,756,680|_벌크_1,640,000|해외구매",1416000,1416020,1416020,1416020,1416020,1416020,1436360,1436360,1436360,1436360,1436360,1435720,1435720,1435720,1435720,1435720,1418310,1418310,1418310,1418310,1418310,1418310,1418310,1411480,1411480,1411480,1411480,1411480
17570816,AMD 라이젠 스레드리퍼 PRO 5965WX (샤갈 프로),AMD 라이젠 스레드리퍼 PRO 5965WX,샤갈 프로,"_정품_2,598,990|_해외구매 | _정품_2,599,000|_해외구매 | _정품_2,890,000|_해외구매 | _정품_2,899,830|_해외구매 | _정품_2,899,950|_해외구매",2983690,2983690,2983690,2983690,2983690,2983690,2983690,2983690,2983690,2983690,2983690,2983690,2983690,2909980,2909980,2909980,2909980,2909980,2909980,2909980,2909980,2909980,2909980,2909980,2909980,2909980,2909980,2909980
20685467,AMD 라이젠 스레드리퍼 PRO 5975WX (샤갈 프로),AMD 라이젠 스레드리퍼 PRO 5975WX,샤갈 프로,"멀티팩(정품)_2,950,000|_정품_2,950,000|_해외구매 | 멀티팩(정품)_3,365,900|_정품_2,950,000|_해외구매",3956570,4019020,4019020,4019020,4019020,4013840,4012350,4012360,4012360,4012360,4012360,4013580,4013580,4011440,4429530,4429530,4429530,4429530,4412410,4412660,4429530,3964100,3964100,3964100,3964100,3964100,3964950,3964950
17570807,AMD 라이젠 스레드리퍼 PRO 5975WX (샤갈 프로),AMD 라이젠 스레드리퍼 PRO 5975WX,샤갈 프로,"멀티팩(정품)_2,950,000|_정품_2,950,000|_해외구매",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3964100,0,0
17570783,AMD 라이젠 스레드리퍼 PRO 5995WX (샤갈 프로),AMD 라이젠 스레드리퍼 PRO 5995WX,샤갈 프로,정품,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8423270,8361730,8361710
72674036,AMD 라이젠 스레드리퍼 PRO 7955WX (스톰 픽),AMD 라이젠 스레드리퍼 PRO 7955WX,스톰 픽,"_멀티팩(정품)_2,772,690|_정품 | _멀티팩(정품)_2,772,700|_정품 | _멀티팩(정품)_2,772,710|_정품 | _멀티팩(정품)_2,772,740|_정품 | _멀티팩(정품)_2,772,750|_정품 | _멀티팩(정품)_2,772,860|_정품 | _멀티팩(정품)_2,772,960|_정품 | _멀티팩(정품)_2,772,990|_정품",2772940,2772850,2772840,2772730,2772720,2772690,2772680,2772650,2772640,2772610,2772600,2772990,2772990,2772930,2772810,2772690,2772570,2772450,2772350,2772990,2772990,2772900,2772790,2772670,2772580,2772470,2759670,2772250
