Id,Name,cpu_model,cpu_codename,sale_info,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-11,2024-05-12,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-18,2024-05-19,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-25,2024-05-26,2024-05-27,2024-05-28,2024-05-29,2024-05-30,2024-05-31
15834833,AMD A4 3400 (라노),AMD A4 3400,라노,중고,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18170813,AMD A4 7300 (리치랜드),AMD A4 7300,리치랜드,중고,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390
9736854,AMD EPYC 7232P (롬),AMD EPYC 7232P,롬,정품,924000,924000,0,924000,924000,924000,0,0,924000,924000,924000,924000,0,924000,924000,924000,924000,924000,924000,924000,924000,924000,924000,924000,924000,924000,924000,924000,924000,0,0
9736833,AMD EPYC 7262 (롬),AMD EPYC 7262,롬,정품,0,0,1177000,1177000,1177000,1177000,1177000,1177000,1177000,1177000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9736752,AMD EPYC 7302 (롬),AMD EPYC 7302,롬,정품,0,0,2013000,2013000,2013000,2013000,2013000,2013000,2013000,0,2193000,2193000,2193000,2193000,2193000,0,0,0,0,0,0,0,0,0,0,0,0,0,2193000,2193000,2193000
9736764,AMD EPYC 7302P (롬),AMD EPYC 7302P,롬,정품,1043950,1043880,1043810,1043760,1043670,1043650,1043590,1043510,0,0,1043960,1043960,1043960,1043960,1043960,1043950,1043860,1043770,1043750,1043650,1043630,1043560,1043450,1043410,1043380,1043330,1043300,1043270,1043250,1043150,1043040
9736680,AMD EPYC 7452 (롬),AMD EPYC 7452,롬,정품,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200000,4200000,4200000,4200000,4200000,4200000,4200000,0,0,0,0,0,0,0
16909040,AMD EPYC 7543 (밀라노),AMD EPYC 7543,밀라노,정품,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000
9736071,AMD EPYC 7742 (롬),AMD EPYC 7742,롬,정품,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,0
16908977,AMD EPYC 7763 (밀라노),AMD EPYC 7763,밀라노,정품,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990
