Id,Name,cpu_model,cpu_codename,sale_info,2026-01-01,2026-01-02,2026-01-03,2026-01-04,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31
18170813,AMD A4 7300 (리치랜드),AMD A4 7300,리치랜드,중고,0,0,0,0,0,14250,0,0,14250,14250,0,0,0,14250,0,14250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89607479,AMD EPYC 4584PX (라파엘),AMD EPYC 4584PX,라파엘,멀티팩 정품,860180,860130,860060,860010,859990,859950,859940,859890,859830,859790,859760,859670,859590,859570,859490,859410,859330,859250,859230,847520,847520,847520,847520,847520,847520,847520,601230,757860,847520,847520,847520
92678627,AMD EPYC 4585PX (그라도),AMD EPYC 4585PX,그라도,멀티팩 정품,1008060,1008050,1008030,1007980,1007960,1007900,1007840,1007820,1007760,1007690,1007580,1007480,1007400,1007370,1007300,1007270,1007200,1007170,1007100,990600,990600,990600,990600,990600,990600,990600,750660,899410,990590,990590,990590
4143917,AMD FX 8300 (비쉐라),AMD FX 8300,비쉐라,중고,18990,18970,18890,18820,18750,18980,18890,18850,18830,18770,18750,18990,18960,18950,18920,18830,18800,18680,18680,18680,18680,18680,18590,18990,18950,18840,18760,18680,18590,18970,18910
11035590,AMD 라이젠 스레드리퍼 1900X (화이트헤븐),AMD 라이젠 스레드리퍼 1900X,화이트헤븐,해외구매,556200,556200,556200,556200,556200,556200,556200,556200,556200,556200,556200,556200,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870,1364870
5565155,AMD 라이젠 스레드리퍼 1920X (화이트헤븐),AMD 라이젠 스레드리퍼 1920X,화이트헤븐,해외구매,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600,192600
5565728,AMD 라이젠 스레드리퍼 1950X (화이트헤븐),AMD 라이젠 스레드리퍼 1950X,화이트헤븐,해외구매,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880
10946196,AMD 라이젠 스레드리퍼 2920X (콜팩스),AMD 라이젠 스레드리퍼 2920X,콜팩스,해외구매,373200,373200,422200,422190,422190,422190,422190,422190,422190,422190,422190,422190,422190,422190,422190,422190,422190,422190,422190,422190,422190,422190,422190,422190,422190,422200,422200,422200,422200,422200,422200
11036559,AMD 라이젠 스레드리퍼 2950X (콜팩스),AMD 라이젠 스레드리퍼 2950X,콜팩스,해외구매,783070,783070,783070,783070,783070,783070,783070,783070,783070,783070,783070,783070,783070,783070,783070,783070,783070,783070,783070,783070,783070,783070,783070,783070,783070,783070,821990,821990,821990,821990,821990
11038053,AMD 라이젠 스레드리퍼 2970WX (콜팩스),AMD 라이젠 스레드리퍼 2970WX,콜팩스,해외구매,1728200,1728200,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400
