Id,Name,cpu_model,cpu_codename,sale_info,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29,2025-07-30,2025-07-31
89607479,AMD EPYC 4584PX (라파엘),AMD EPYC 4584PX,라파엘,멀티팩 정품,0,0,0,0,0,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220
92678627,AMD EPYC 4585PX (그라도),AMD EPYC 4585PX,그라도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9736854,AMD EPYC 7232P (롬),AMD EPYC 7232P,롬,정품,0,0,0,0,0,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000
9736752,AMD EPYC 7302 (롬),AMD EPYC 7302,롬,정품,0,0,0,0,0,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800
9736764,AMD EPYC 7302P (롬),AMD EPYC 7302P,롬,정품,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061080,1061080,1061080,0,0,0,0,0,0,0,0
9736680,AMD EPYC 7452 (롬),AMD EPYC 7452,롬,정품,0,0,0,0,0,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000
16909040,AMD EPYC 7543 (밀라노),AMD EPYC 7543,밀라노,정품,0,0,0,0,0,1699820,1699700,1699590,1699580,1699540,1699420,1699300,1699180,0,1702030,1702030,1702030,0,1702030,1702030,1702030,1702030,1701920,1701800,1701680,1701570,1701560,1701520
9736071,AMD EPYC 7742 (롬),AMD EPYC 7742,롬,정품,0,0,0,0,0,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910
16908977,AMD EPYC 7763 (밀라노),AMD EPYC 7763,밀라노,정품,0,0,0,0,0,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990
28159028,AMD FX 4100 (잠베지),AMD FX 4100,잠베지,중고,0,0,0,0,0,0,0,0,0,0,0,0,0,3250,3250,3250,3240,0,0,0,0,0,0,0,0,0,0,3190
