Id,Name,cpu_model,cpu_codename,sale_info,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-08-31
15833261,AMD A4 3300 (라노),AMD A4 3300,라노,중고,2500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15834833,AMD A4 3400 (라노),AMD A4 3400,라노,중고,2500,2500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,2500,2500,2500
18170813,AMD A4 7300 (리치랜드),AMD A4 7300,리치랜드,중고,4000,4000,4000,0,0,4000,4000,0,0,4000,4000,0,0,4000,4000,4000,0,4000,4000,4000,0,4000,4000,4000,0,0,4000,3990,3990,3990,3990
9736854,AMD EPYC 7232P (롬),AMD EPYC 7232P,롬,정품,924000,924000,924000,924000,924000,924000,924000,924000,924000,924000,924000,924000,924000,924000,0,0,924000,924000,924000,924000,924000,924000,924000,924000,0,0,0,0,0,0,0
9736833,AMD EPYC 7262 (롬),AMD EPYC 7262,롬,정품,1177000,1177000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177000,0,0,0,0,0,0,0,0,0,0,0,0
9736752,AMD EPYC 7302 (롬),AMD EPYC 7302,롬,정품,2193000,2193000,2193000,2193000,2193000,1982820,1982810,1982710,1982680,1982670,1982660,1982650,1982640,1982610,1982500,1982380,1982350,1982230,1982120,1982820,0,0,1993480,1986030,1963630,1963630,1963630,1963630,1963550,1963540,1963530
9736764,AMD EPYC 7302P (롬),AMD EPYC 7302P,롬,정품,1062790,1062790,1062790,1062800,1062790,1061080,1061070,1060950,1060840,1060830,1060820,0,0,1060670,1060560,1060440,1060410,1060300,0,0,0,0,0,0,0,1050800,1062790,1062730,1062630,1062620,1062610
9736680,AMD EPYC 7452 (롬),AMD EPYC 7452,롬,정품,0,4200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200000,4200000,0,0,0,0,0,0,0,4200000,0,0,4200000,0,4200000
16909040,AMD EPYC 7543 (밀라노),AMD EPYC 7543,밀라노,정품,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,1701000,1701000,1701000,1701000,1701000,1701000,1701000,1701000,1701000,1701000,1701000,1701000,1701000,1701000,1814360,1738790,1738790,1738710,1667520,1667420,1667320,1667230
9736071,AMD EPYC 7742 (롬),AMD EPYC 7742,롬,정품,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910
16908977,AMD EPYC 7763 (밀라노),AMD EPYC 7763,밀라노,정품,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990
28159028,AMD FX 4100 (잠베지),AMD FX 4100,잠베지,중고,7500,8550,7500,7500,7500,7500,7500,7500,7500,0,0,0,0,0,0,0,0,0,0,0,0,7500,8560,7500,7500,7500,7500,7500,7500,7500,7500
4143917,AMD FX 8300 (비쉐라),AMD FX 8300,비쉐라,중고,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
5565728,AMD 라이젠 스레드리퍼 1950X (화이트헤븐),AMD 라이젠 스레드리퍼 1950X,화이트헤븐,해외구매,917300,917290,917290,917290,917290,917290,917300,917300,917300,917300,917300,917300,917300,917300,917300,917300,917300,917300,917300,917300,917300,917300,917300,917300,917300,917300,917300,917300,917300,917300,917300
11038053,AMD 라이젠 스레드리퍼 2970WX (콜팩스),AMD 라이젠 스레드리퍼 2970WX,콜팩스,해외구매,1976340,1976330,1976300,1976290,1976260,1978700,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390,1998390
11035740,AMD 라이젠 스레드리퍼 2990WX (콜팩스),AMD 라이젠 스레드리퍼 2990WX,콜팩스,해외구매,5338600,5338590,5338590,5338590,5338590,5338590,5328590,5328590,5144590,5135230,5135230,5184460,5166520,5166520,5166520,5166520,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590,5338590
14079716,AMD 라이젠 스레드리퍼 3970X (캐슬 픽),AMD 라이젠 스레드리퍼 3970X,캐슬 픽,해외구매,3309200,2914590,2914560,2914450,2914330,2914550,2914540,2914510,2914390,2914380,2878090,2900160,2900160,2900160,2900160,2900160,2900160,2900160,2900160,2914590,2914590,2914590,2979840,2979840,2979840,2979840,2979840,2979810,2979800,2979790,2979780
30131825,AMD 라이젠 스레드리퍼 7960X (스톰 픽),AMD 라이젠 스레드리퍼 7960X,스톰 픽,정품,2383240,2383230,2383200,2383190,2383160,2383060,2383050,2383020,2347790,2347790,2347780,2347670,2223340,2223300,2223390,2216320,2216320,2216320,2216320,2216320,2216320,2216320,2388570,2388570,2388570,2388570,2388570,2388570,2388570,2388570,2388570
30131816,AMD 라이젠 스레드리퍼 7970X (스톰 픽),AMD 라이젠 스레드리퍼 7970X,스톰 픽,정품,3693200,3693190,3693160,3693150,3693120,3693020,3693010,3692980,3692860,3692850,3692840,3692830,3692820,3692810,3692780,3692660,3692630,3692510,3692390,3722150,3722150,3722150,3750670,3722150,3694500,3694500,3722150,3722120,3722110,3722080,3721990
