Id,Name,cpu_model,cpu_codename,sale_info,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30
89607479,AMD EPYC 4584PX (라파엘),AMD EPYC 4584PX,라파엘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9736854,AMD EPYC 7232P (롬),AMD EPYC 7232P,롬,정품,924000,924000,924000,924000,924000,924000,924000,924000,0,0,924000,0,0,0,924000,924000,924000,924000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000
9736833,AMD EPYC 7262 (롬),AMD EPYC 7262,롬,정품,1177000,1177000,1177000,0,0,0,1177000,0,1177000,1177000,1177000,1177000,1177000,1177000,1177000,1177000,1177000,1177000,1377000,1377000,1377000,1377000,1377000,1377000,1377000,1377000,1377000,1377000,0,1377000
9736752,AMD EPYC 7302 (롬),AMD EPYC 7302,롬,정품,1984550,1984550,1984550,1984550,1984550,1984550,1984550,1984550,1984550,1984550,1984550,1984550,1984550,1984550,1984550,1984550,1984550,1984550,1986030,1986030,1986030,1986030,1986030,1986030,1986030,1986030,1986030,1986030,1986030,1986030
9736680,AMD EPYC 7452 (롬),AMD EPYC 7452,롬,정품,4200000,4200000,4200000,4200000,4200000,4200000,4200000,4200000,4200000,4200000,4200000,4200000,4200000,4200000,4200000,4200000,4200000,4200000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000
16909040,AMD EPYC 7543 (밀라노),AMD EPYC 7543,밀라노,정품,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1703310,1704370,1704340,1704220,1704100,1703980,1703860,1703740,1703620,1703500,1703380,1703260,1703140
9736071,AMD EPYC 7742 (롬),AMD EPYC 7742,롬,정품,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,12799910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910
16908977,AMD EPYC 7763 (밀라노),AMD EPYC 7763,밀라노,정품,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990
28159028,AMD FX 4100 (잠베지),AMD FX 4100,잠베지,중고,3600,3630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4143917,AMD FX 8300 (비쉐라),AMD FX 8300,비쉐라,중고,20900,22740,22740,22500,22490,22490,22490,22490,22490,22490,22490,22490,22490,22490,22790,22710,21980,21990,21990,21990,21990,21990,21990,21990,21990,21740,21730,21720,21720,21660
11035590,AMD 라이젠 스레드리퍼 1900X (화이트헤븐),AMD 라이젠 스레드리퍼 1900X,화이트헤븐,해외구매,0,0,0,1268300,1268300,1268300,1268300,1268300,1268300,1268300,1268300,1268300,1268300,1268300,1268300,1268300,1268300,1268300,1268300,1268300,1268300,1268300,556200,526200,556200,556200,556200,556200,556200,556200
5565155,AMD 라이젠 스레드리퍼 1920X (화이트헤븐),AMD 라이젠 스레드리퍼 1920X,화이트헤븐,해외구매,0,263330,263330,263330,263330,263330,263330,263330,263330,263330,263330,263330,263330,263330,263330,263330,296160,299010,299010,299010,299010,299010,299010,299010,299010,299010,299010,299010,299010,299010
5565728,AMD 라이젠 스레드리퍼 1950X (화이트헤븐),AMD 라이젠 스레드리퍼 1950X,화이트헤븐,해외구매,405300,405180,405120,405100,406530,406530,406530,406530,410950,410950,410950,410950,410950,419800,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880,441880
10946196,AMD 라이젠 스레드리퍼 2920X (콜팩스),AMD 라이젠 스레드리퍼 2920X,콜팩스,해외구매,0,0,0,455090,455090,455090,455090,455090,466890,466890,466890,466890,466890,466890,466890,466890,466890,466890,466890,466890,466890,466890,434590,434590,466900,466900,466900,466900,466900,466900
11036559,AMD 라이젠 스레드리퍼 2950X (콜팩스),AMD 라이젠 스레드리퍼 2950X,콜팩스,해외구매,0,0,0,663940,689540,689540,689540,696890,696900,696900,696900,696900,696900,696900,696900,696900,696900,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190
11038053,AMD 라이젠 스레드리퍼 2970WX (콜팩스),AMD 라이젠 스레드리퍼 2970WX,콜팩스,해외구매,1640600,1640590,1640590,1640590,1650590,1650590,1650590,1650590,1650590,1650590,1650590,1650590,1650590,1640600,1650600,1640600,1650600,1650600,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400,1998400
11035740,AMD 라이젠 스레드리퍼 2990WX (콜팩스),AMD 라이젠 스레드리퍼 2990WX,콜팩스,해외구매,1402400,1402400,1402400,1412400,1412400,1412400,1412400,1412400,1412400,1412400,1412400,1412400,1412400,1402400,1432390,1432390,1432390,1432390,1169400,1169400,1169400,1169400,1169400,1169400,1169400,1169400,1169400,1169400,1159400,1159400
11035356,AMD 라이젠 스레드리퍼 3960X (캐슬 픽),AMD 라이젠 스레드리퍼 3960X,캐슬 픽,해외구매,1274770,1274770,1402200,1412200,1412200,1412200,1412200,1412200,1412200,1412200,1412200,1412200,1412200,1402200,1428600,1422200,1303740,1428600,1432190,1432190,1432190,1432190,1432190,1432190,1432190,1432190,1432190,1432190,1432190,1432190
14079716,AMD 라이젠 스레드리퍼 3970X (캐슬 픽),AMD 라이젠 스레드리퍼 3970X,캐슬 픽,해외구매,2898100,2898100,2898100,2898100,2898100,2898100,2898100,2898100,2898100,2898100,2898100,2898100,2898100,2898100,2898100,2898100,2898100,2898100,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090
