Id,Name,cpu_model,cpu_codename,sale_info,2025-06-01,2025-06-02,2025-06-03,2025-06-04,2025-06-05,2025-06-06,2025-06-07,2025-06-08,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-14,2025-06-15,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30
89607479,AMD EPYC 4584PX (라파엘),AMD EPYC 4584PX,라파엘,멀티팩 정품,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,937220,0,0,0,0,0,0
92678627,AMD EPYC 4585PX (그라도),AMD EPYC 4585PX,그라도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9736854,AMD EPYC 7232P (롬),AMD EPYC 7232P,롬,정품,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,1124000,0,0,0,0,0,0
9736833,AMD EPYC 7262 (롬),AMD EPYC 7262,롬,정품,1377000,0,1377000,1377000,1377000,1377000,1377000,1377000,1377000,1377000,1377000,1377000,1377000,1377000,1377000,1377000,1377000,0,0,0,0,0,0,0,0,0,0,0,0,0
9736752,AMD EPYC 7302 (롬),AMD EPYC 7302,롬,정품,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,2002800,0,0,0,0,0,0
9736680,AMD EPYC 7452 (롬),AMD EPYC 7452,롬,정품,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,0,0,0,0,0,0
16909040,AMD EPYC 7543 (밀라노),AMD EPYC 7543,밀라노,정품,1703890,1703800,1703770,1703650,1703530,1703460,0,0,0,1702980,1702900,1702870,1702750,1702630,1702500,1702380,1702300,1702270,1702140,1702030,1701910,1701780,0,0,0,0,0,0,0,0
9736071,AMD EPYC 7742 (롬),AMD EPYC 7742,롬,정품,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,14999910,0,0,0,0,0,0
16908977,AMD EPYC 7763 (밀라노),AMD EPYC 7763,밀라노,정품,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,15699990,0,0,0,0,0,0
28159028,AMD FX 4100 (잠베지),AMD FX 4100,잠베지,중고,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3140,0,0,3140,3120,0,0,0,0,0,0,0,0,0,0,0
4143917,AMD FX 8300 (비쉐라),AMD FX 8300,비쉐라,중고,20910,20910,20910,20910,20910,20910,20910,20910,20910,20910,20910,20910,21140,21140,21140,21140,21140,21140,21050,21010,20920,20920,20910,20920,0,0,0,0,0,0
11035590,AMD 라이젠 스레드리퍼 1900X (화이트헤븐),AMD 라이젠 스레드리퍼 1900X,화이트헤븐,해외구매,551200,556200,556200,556200,549200,556200,549200,549200,526200,526200,556200,556200,556200,556200,556200,556200,556200,556200,556200,556200,556200,556200,556200,556200,0,0,0,0,0,0
5565155,AMD 라이젠 스레드리퍼 1920X (화이트헤븐),AMD 라이젠 스레드리퍼 1920X,화이트헤븐,해외구매,184050,186100,172080,168260,172080,178150,186230,182390,176630,176630,186230,189290,189290,189290,189290,189290,189290,177820,177820,189290,189290,189290,181640,189290,0,0,0,0,0,0
5565728,AMD 라이젠 스레드리퍼 1950X (화이트헤븐),AMD 라이젠 스레드리퍼 1950X,화이트헤븐,해외구매,440010,439920,439890,439770,439650,439580,439470,439340,439220,439110,439020,438990,438870,438750,438620,438500,438420,438390,408850,408850,441880,441880,441880,441880,0,0,0,0,0,0
10946196,AMD 라이젠 스레드리퍼 2920X (콜팩스),AMD 라이젠 스레드리퍼 2920X,콜팩스,해외구매,443190,443190,410410,443190,443190,443190,443190,443190,443190,443190,443190,443190,443190,443190,443190,443190,443190,443190,443190,443190,437790,437790,437790,437800,0,0,0,0,0,0
11036559,AMD 라이젠 스레드리퍼 2950X (콜팩스),AMD 라이젠 스레드리퍼 2950X,콜팩스,해외구매,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,722190,0,0,0,0,0,0
11038053,AMD 라이젠 스레드리퍼 2970WX (콜팩스),AMD 라이젠 스레드리퍼 2970WX,콜팩스,해외구매,1681340,1681340,1579920,1681350,1681350,1681350,1681350,1681350,1681350,1681350,1681350,1681350,1681350,1681350,1681350,1681350,1681350,1681350,1681350,1681350,1703300,1703300,1703300,1703300,0,0,0,0,0,0
11035740,AMD 라이젠 스레드리퍼 2990WX (콜팩스),AMD 라이젠 스레드리퍼 2990WX,콜팩스,해외구매,1431600,1431470,1431360,1431240,1431120,1431040,1430920,1430790,1430670,1430590,1439590,1439590,1439590,1439590,1439590,1439590,1439590,1439590,1439590,1439590,1439590,1439590,1439590,1439590,0,0,0,0,0,0
11035356,AMD 라이젠 스레드리퍼 3960X (캐슬 픽),AMD 라이젠 스레드리퍼 3960X,캐슬 픽,해외구매,1441190,1441190,1441190,1441190,1441190,1441190,1441190,1441190,1441190,1441190,1441190,1441190,1441190,1441190,1441190,1441190,1441190,1441190,1441190,1441190,1441190,1441190,1441190,1397090,0,0,0,0,0,0
14079716,AMD 라이젠 스레드리퍼 3970X (캐슬 픽),AMD 라이젠 스레드리퍼 3970X,캐슬 픽,해외구매,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,2898090,0,0,0,0,0,0
