Id,Name,cpu_model,cpu_codename,sale_info,2025-01-01,2025-01-02,2025-01-03,2025-01-04,2025-01-05,2025-01-06,2025-01-07,2025-01-08,2025-01-09,2025-01-10,2025-01-11,2025-01-12,2025-01-13,2025-01-14,2025-01-15,2025-01-16,2025-01-17,2025-01-18,2025-01-19,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,2025-01-25,2025-01-26,2025-01-27,2025-01-28,2025-01-29,2025-01-30,2025-01-31
15834833,AMD A4 3400 (라노),AMD A4 3400,라노,중고,0,0,0,0,0,0,1420,1340,0,1340,0,0,0,1400,0,1390,0,1390,1390,1390,1390,0,1200,0,1200,0,1200,1200,1200,1200,1200
18170813,AMD A4 7300 (리치랜드),AMD A4 7300,리치랜드,중고,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990
9736854,AMD EPYC 7232P (롬),AMD EPYC 7232P,롬,정품,0,0,0,924000,924000,924000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9736752,AMD EPYC 7302 (롬),AMD EPYC 7302,롬,정품,0,0,0,0,0,0,0,1985930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983510,1983390
9736764,AMD EPYC 7302P (롬),AMD EPYC 7302P,롬,정품,1057250,1057220,1057100,1056980,1062790,1062790,1062790,1062690,1062560,1062450,1062440,1062410,1062290,1062170,0,0,0,0,0,0,0,1061210,0,0,0,0,0,0,0,0,0
16909040,AMD EPYC 7543 (밀라노),AMD EPYC 7543,밀라노,정품,1703260,1703160,1703130,1703010,1704790,1704790,1704790,1704690,1704560,1704450,1704440,1704410,1704290,1704170,1704050,1703930,1703810,1703690,1703570,1703450,1703330,1703210,1703090,1702970,1702850,1702730,1702610,1702510,1702390,1702270,1702150
9736071,AMD EPYC 7742 (롬),AMD EPYC 7742,롬,정품,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12799910
16908977,AMD EPYC 7763 (밀라노),AMD EPYC 7763,밀라노,정품,13699990,0,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,0,0,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990,13699990
28159028,AMD FX 4100 (잠베지),AMD FX 4100,잠베지,중고,3620,3590,3580,3560,3680,3680,3680,3600,3570,3550,3680,3650,3560,3680,3650,3680,3680,3680,3680,3680,3680,3670,3670,3660,3660,3680,3680,3710,3680,0,0
4143917,AMD FX 8300 (비쉐라),AMD FX 8300,비쉐라,중고,22460,22430,22420,22390,22490,22490,22490,22490,22460,22430,22420,22390,22270,22500,22490,22490,22490,22490,22490,22490,23030,22790,22790,22790,23240,23030,23030,22490,22490,22490,22490
