hw,model,n,k,r2,adj_r2,aic,bic,mae,dir_acc,max_vif,lb_p,bp_p
GPU,macro,103,5,0.08736543843179745,0.04032241979426121,-670.0768080563345,-654.2684341269567,0.005158713191572258,0.5145631067961165,1.1667033279865775,1.511254249206655e-13,0.01407599353660435
GPU,internal,103,5,0.5552058379085762,0.5322783037801524,-744.1053719462471,-728.2969980168693,0.004134580623828218,0.6601941747572816,3.0285493008738857,1.7018778162361054e-05,4.5065584122126474e-07
GPU,combined,103,10,0.5725502792130812,0.52608835304059,-738.2021916716341,-709.2201728011081,0.004194477150634447,0.6601941747572816,3.2082912101229657,2.625703027453775e-06,0.00016320897854875304
CPU,macro,103,5,0.029955151772408817,-0.0200471599919001,-767.6349578430642,-751.8265839136864,0.0039210290414395665,0.5631067961165048,1.1667033279865775,0.2959229196213364,0.9609442590932848
CPU,internal,103,4,0.03202592523291281,-0.007483220675947866,-769.8550689524776,-756.6814240113295,0.0037943457339600513,0.6407766990291263,3.542664413168388,0.6695726357867642,0.679770698614552
CPU,combined,103,9,0.06078541163647799,-0.03010632272128211,-762.9616852157395,-736.6143953334432,0.0037723345521067505,0.6213592233009708,3.567741411868567,0.5751989103788557,0.976875968003577
RAM,macro,103,5,0.031751023967880765,-0.018158717064702845,-462.196320065569,-446.3879461361912,0.013752570206493857,0.5631067961165048,1.1667033279865775,1.8988708215416838e-21,0.5624324290547086
RAM,internal,103,5,0.5921743836885073,0.5711524447033788,-551.2552277132636,-535.4468537838858,0.00978173038027631,0.5728155339805825,2.3202355166595083,0.03497349720986063,2.1560713066408553e-09
RAM,combined,103,10,0.6081204313537661,0.5655248260661321,-545.3633932491526,-516.3813743786267,0.010193493720069583,0.5631067961165048,2.551124960762479,0.06444594699033604,3.0022725620993493e-07
