date,btc_ret_z,fx_ret_z,soxx_ret_z,oil_ret_z,csi_chg_z,gpu_ret,gpu_n_chg,gpu_new_sh,gpu_riq_l1,gpu_high_chg,gpu_vram_chg,cpu_ret,cpu_n_chg,cpu_new_sh,cpu_riq_l1,cpu_amd_chg,ram_ret,ram_n_chg,ram_new_sh,ram_riq_l1,ram_ddr5_chg,ram_cap_chg
2024-03-17,0.02954987193745518,-0.05529126869549257,-0.9449044857683504,0.7468871414803651,0.14320591130572927,0.003091853496721,-0.45192047934737467,-0.3729461524639887,-0.3907566480232514,0.26280608084418694,-0.3097296227832135,0.0005075535352144,-0.28886110940797927,0.4220118932017767,-0.7221631209662178,0.21171425555148082,0.0014727700884034,0.2591553731561706,0.8654072159336207,-0.3533626801507492,0.9851076729988422,1.5074315989128066
2024-03-24,-0.0996319535950514,0.7656325291931037,0.6043151252035416,-0.06513562273630558,0.14320591130572927,0.0020496207331638,-0.10775267623921737,-0.19917025118312295,-0.25416494814983276,0.46989497963890203,-0.3751669335471313,0.0006733549823636,-0.09778191847072427,0.21042437002224876,-0.783949473754154,-0.5775482760809938,-0.0030157434105882,0.02019107740891033,1.1407697316789032,-0.3511601130798506,0.1438552449942733,0.76065769281747
2024-03-31,1.0135206279576294,0.9161365605405081,-0.011723403307846414,0.42040590265676075,0.14320591130572927,0.0010933686827927,0.6844181320735349,0.33651075618325244,-0.32148094029266966,-0.8018575013177478,-0.15688655226844256,0.001044098580576,0.09329727246653066,1.0456382773098556,-0.7977719984458246,-0.22454478092046598,-0.0015083835246113,-0.3697577153234289,0.9896645256500051,-0.344856032487849,-0.3653040497313841,-0.5327352547443548
2024-04-07,-0.38289688121936727,-0.001291004818320553,-0.4622585037189044,0.7976040487280603,-1.054228018652879,-0.0001153440516104,-0.05659722992051293,-0.49514307941802976,-0.3873805515811668,0.6703651219280897,0.17655620372846145,-0.0086746720647496,-0.4810676177267228,1.7065609984218628,-0.640940299588602,-0.7182649199874837,-0.0051279521639672,0.8336408931249106,1.0671020576936185,-0.34750012256626134,0.2223383235388384,-1.4847542063433754
2024-04-14,-0.5264546040994391,0.9938585765872843,-0.3991258718274955,-0.2576223257316609,0.14320591130572927,0.0002916726195209,0.09070344145049522,-0.16227828844516334,-0.3563041008575036,0.04510238956945215,-0.4003287687891749,0.0006425134444731,-1.0762010568059022,-0.40885618562514536,1.2034897026863107,-0.08841734490088116,0.0035704723332439,0.16502225652008665,1.4479076443118806,-0.23089157271394015,0.10427000613079251,0.625313308533607
2024-04-21,-0.2649337367871668,0.6575965591513625,-2.0607632467125536,-0.8497433367125212,0.14320591130572927,0.0024268508891515,0.4807875311143888,0.5386401817301156,-0.37817963648618236,0.17640144048691198,-0.5914929106970346,-0.0051642772684121,1.2639229191204555,1.6766887850382686,-0.6076129739483015,-0.9159718983972148,0.0031641766240276,-0.18976652849374145,1.0367217167451797,-0.3421700355063916,0.6234143175158334,0.39851403285547327
2024-04-28,-0.4236241375466544,-0.6140834975067839,1.8349910500561701,0.44804428210795866,0.14320591130572927,-0.0009344710930582,0.5714516541842127,0.34871564986362874,-0.38038525116466493,0.8477991442186854,0.619175866204882,-0.0043474434548666,-0.09778191847072427,0.4145877695814426,-0.4151444650460032,0.5580573074070838,0.0003316461810689,-0.5749104982945453,0.2630044698406264,-0.3168031542272596,0.6608492402689625,0.9051117074844155
2024-05-05,-0.015934953756582278,-0.5743652775166972,-0.1273313961108965,-1.7137101704661484,-4.2655281035418735,-0.0006387161801975,-0.34302941288386024,0.14749935975915182,-0.3775903038987868,0.948039005759046,0.6080343109036629,-0.0029576162654787,0.2810468693021303,0.8158337571544196,0.25893378471989537,1.2583663462302586,-0.0011429578184124,-0.19575297550987644,0.6127586442440112,-0.3533626801507492,-2.043251140935868,-0.6519285897994874
2024-05-12,-0.49214748780777207,-0.05557853293956335,0.33952551165035594,-0.13167838140519758,0.14320591130572927,0.0006126049351804,-0.10367726481340973,-0.06658976009358868,-0.35577319909398203,-0.21813998212837643,-0.3221299961038911,0.0005006047730786,-0.4766107062435788,0.20423760033863705,-0.23770351994377661,-1.274527093251711,-0.0011858774380771,0.9519709859329815,1.5261286053031111,-0.32318084754773097,-0.9285473873437459,-0.8479005132430789
2024-05-19,1.0734373200551302,-1.4019970512794058,0.7004574497677005,0.21809027786290228,0.14320591130572927,-0.0010798173335266,-0.4467459960779413,-0.21640921319075215,-0.3926399899616976,0.5565975496238504,0.05419859013929909,-0.0018316731189174,0.8411565162045938,1.6049785000691288,-0.7439459291507319,0.6288245175218016,0.0009069957027287,-1.9074439948994861,-0.44108352392883865,-0.3149326374960181,0.7229592207494554,1.2257229467745867
2024-05-26,0.7202088085435998,1.337211514872882,0.8815567626733019,-0.567656523729047,0.14320591130572927,-0.0014252757375653,0.4813635521820433,0.045317162893842945,-0.3555972718825742,0.019073915681298702,-0.016790172987885814,-0.0052687462173019,-0.8467553329195124,0.8255043792650596,-0.7308559826094138,0.27334271787572767,-0.00188032889608,1.5909150274522166,1.7251185054252025,-0.3295190718941314,1.924998342987379,0.04082404780452744
2024-06-02,0.023432732171161274,0.423174948332484,-0.46407035226818755,-0.21859191598256136,-0.34665342367733254,-0.0015981074351824,-0.10443629443852688,0.21686871813321829,-0.31509379946767047,-0.08224517855858157,-0.5843508189074885,-0.0050960964156617,0.09108184907560037,0.39999700639696784,1.1947027363006653,-0.7791471094482129,-0.0023531025389362,-0.08586187540280503,0.853982056734272,-0.2749735166301217,-0.6458396681475208,-0.24447970237075195
2024-06-09,0.4373640126003257,-0.7927752102941121,0.4816699154144901,-0.6193401019111123,0.14320591130572927,-0.0020377322181679,-0.1050107927831291,0.1676648106278055,-0.3163210659802276,0.05433430736462979,0.13185364519870726,0.0036266217650564,-0.4766107062435788,0.6249379388242445,0.4014611149605124,0.4107960609255695,-0.0024960982326714,-1.058286784872036,0.19350022452812554,-0.2867819704304729,0.8954821580056754,1.0049218585664395
2024-06-16,-0.6879534612260632,0.4564643868306922,1.0069680444575653,0.7048367760008435,0.14320591130572927,-0.0003430156027606,0.041581658828980905,0.0010837825592592647,-0.21454317041811072,-0.16100712652940632,-0.06210868426880438,-0.0030563793408595,0.2810468693021303,0.8158337571544196,-0.6213339114641596,0.13263592868270366,-0.000840704575507,1.6341248394554162,2.312175854920332,-0.2939880863003112,0.41787922512314035,0.763115479843325
2024-06-23,-0.8061262402729413,1.0804226989161023,-0.24680005915511416,0.581248679448229,0.14320591130572927,0.0014922901342778,0.13937401607571506,-0.16869932730702838,-0.3769662563447411,-0.30258370512522564,-0.6705994993699539,0.0035696524545059,7.879851511340235,8.104266580950751,-0.2950179939897025,-4.403795263959715,0.0008841555017543,8.243711475628782,6.889835349896049,-0.33180655956646404,4.937166580374841,0.2567812358162224
