hw,model,var,coef,se,p
GPU,macro,btc_ret_z,-0.002538544209340263,0.001850746524207067,0.17017784965323213
GPU,macro,fx_ret_z,-0.000899772524571456,0.0011227353049064902,0.4228936969754301
GPU,macro,soxx_ret_z,0.0008718034145722085,0.0007527283867122003,0.24678600726504984
GPU,macro,oil_ret_z,0.0007106418049138198,0.0013763324375694935,0.6056239074397958
GPU,macro,csi_chg_z,-0.00028528684102885744,0.0005637085824777362,0.6127940126060497
GPU,internal,gpu_n_chg,-0.002358502412362232,0.0007770278288613046,0.002403069516019043
GPU,internal,gpu_new_sh,0.0045258181918161385,0.0017061276267606373,0.007985448925535873
GPU,internal,gpu_riq_l1,0.004633432553390656,0.0011084676589258784,2.91465454887643e-05
GPU,internal,gpu_high_chg,0.004979950063893647,0.0018401359907687935,0.006803866112339087
GPU,internal,gpu_vram_chg,-0.006538777589308849,0.0023765697940148975,0.005935001944921819
GPU,combined,btc_ret_z,-0.0009643376216013336,0.0007415466558765652,0.19344988993052437
GPU,combined,fx_ret_z,-0.00042060615075455784,0.0006594562712395844,0.5235990016984156
GPU,combined,soxx_ret_z,0.0008600039952239793,0.000579118146197607,0.13753762704428504
GPU,combined,oil_ret_z,0.00016228607951237882,0.0008518313150317049,0.848906108435727
GPU,combined,csi_chg_z,5.220682864682993e-06,0.0005682252018194551,0.9926693789053269
GPU,combined,gpu_n_chg,-0.0021385507776863428,0.0007288024577576174,0.003342629002533969
GPU,combined,gpu_new_sh,0.004643865579004005,0.001571613019612841,0.0031283087828586926
GPU,combined,gpu_riq_l1,0.004363932347439248,0.0009504802422991246,4.405104840257417e-06
GPU,combined,gpu_high_chg,0.005186049125249353,0.0017109061093503381,0.0024360717375164955
GPU,combined,gpu_vram_chg,-0.006633278466213301,0.0021490466397890637,0.002024499770103577
CPU,macro,btc_ret_z,0.000211444243588661,0.0005303222363175894,0.6901076424275571
CPU,macro,fx_ret_z,-0.0006702202421393591,0.0005228115634625435,0.19985887244124234
CPU,macro,soxx_ret_z,-0.00016249831642743212,0.0005292213047622974,0.7588039989726919
CPU,macro,oil_ret_z,0.0005078429720864648,0.0005526299688872314,0.35811825914123785
CPU,macro,csi_chg_z,-0.00011060853749082116,0.0005032275896081123,0.8260282919802377
CPU,internal,cpu_n_chg,-0.00033438027542944526,0.0009322666226617563,0.7198385982546365
CPU,internal,cpu_new_sh,7.107831577132795e-08,0.0010806814415602654,0.9999475217316224
CPU,internal,cpu_riq_l1,-0.0008816704459447168,0.00042794938661499436,0.03937738858436829
CPU,internal,cpu_amd_chg,-0.0003533793401006882,0.00023495101233390628,0.13256710135651656
CPU,combined,btc_ret_z,0.00020772633041848252,0.0005326576613551706,0.6965506480173409
CPU,combined,fx_ret_z,-0.0007192367388607644,0.0005942275335178247,0.2261359418116059
CPU,combined,soxx_ret_z,-0.00010758771995707624,0.00047717815840635886,0.8216163335231896
CPU,combined,oil_ret_z,0.00020784094133319552,0.0005205293974403444,0.689681292183727
CPU,combined,csi_chg_z,-0.0001040684246146553,0.0004794879972676232,0.828176603999811
CPU,combined,cpu_n_chg,-0.0003596232020021175,0.0009561951844149246,0.7068439590771236
CPU,combined,cpu_new_sh,8.378605578854916e-05,0.001117524776367068,0.9402348623893844
CPU,combined,cpu_riq_l1,-0.0008973755942171132,0.0004126201242181072,0.029643408670733506
CPU,combined,cpu_amd_chg,-0.00032546329687304325,0.00028189452047824095,0.24827187675700635
RAM,macro,btc_ret_z,-0.0034231999187436493,0.002740887649295256,0.21168759408123938
RAM,macro,fx_ret_z,0.0006088518465393387,0.002121589638994261,0.7741283371768893
RAM,macro,soxx_ret_z,0.0037027644018744967,0.00251747039931235,0.14133780473443686
RAM,macro,oil_ret_z,-0.0004962006265095221,0.0011092237537608564,0.65462928261742
RAM,macro,csi_chg_z,-0.0007328219601799202,0.0022243133691943247,0.741808132737604
RAM,internal,ram_n_chg,-0.00889100197382593,0.005453821196589155,0.1030521579240739
RAM,internal,ram_new_sh,0.009432853886622253,0.005153053987951499,0.06716974023640539
RAM,internal,ram_riq_l1,0.014808643356905201,0.0029205848485178783,3.969019453087818e-07
RAM,internal,ram_ddr5_chg,-0.0034476484158789933,0.0023358412872774266,0.13995002075926033
RAM,internal,ram_cap_chg,0.00236399465842961,0.002369225407919812,0.31838012785327996
RAM,combined,btc_ret_z,-0.0008931104886067385,0.001473909771021252,0.5445502703513486
RAM,combined,fx_ret_z,0.0007174932306023194,0.0011928514370877432,0.5475108682822446
RAM,combined,soxx_ret_z,0.0030690492898938176,0.0018335676718051635,0.09416736900297219
RAM,combined,oil_ret_z,0.001215729913373702,0.0013554718428153473,0.3697694385351744
RAM,combined,csi_chg_z,-0.001007738724187809,0.0010368406061726978,0.3310843020311016
RAM,combined,ram_n_chg,-0.009697781761286963,0.005782570950286639,0.0935286084873313
RAM,combined,ram_new_sh,0.009776636039310466,0.005095243730659971,0.05501257277859822
RAM,combined,ram_riq_l1,0.014590061250979489,0.002947624355686155,7.430141080543808e-07
RAM,combined,ram_ddr5_chg,-0.002839690849109088,0.0022145396858378285,0.19973954821847173
RAM,combined,ram_cap_chg,0.001607833795083604,0.0023106214230929883,0.48652605859565956
