date,CPU_ALL_ret,GPU_ALL_ret,RAM_ALL_ret,SOXX_ret,Oil_ret,BTC_ret,CSI_diff,SOXX_ret_z,CSI_diff_z,Oil_ret_z,BTC_ret_z
2024-04-30,-0.01754387934355538,0.0016687083640037274,0.0019383429743734114,-0.054251666820936455,0.0043344113122057324,-0.12819304248437371,-2.200000000000003,-1.0005501012254523,-0.29485411322165606,-0.06884731131254337,-1.0261245945927824
2024-05-31,-0.009557430828619356,-0.0025312043161091085,-0.0033021684498410614,0.08943448054087975,-0.07367028186599375,0.10493298069802767,-8.100000000000009,1.0413145536273585,-1.8585748035657177,-0.7191161177237759,0.7974274303016945
2024-06-30,0.0018616209903271532,-0.0022314967590473553,-0.004750733291526036,0.053799495755876225,0.05702908860542215,-0.1136172075991517,-0.8999999999999915,0.5349204631414134,0.049694513464326295,0.3704301668951575,-0.912109896205045
2024-07-31,-0.00016519672680922497,0.0010353740225934798,-0.002490363406979419,-0.046688021131273634,-0.06811706106588872,0.0598761189460699,-1.7999999999999972,-0.8930662478469987,-0.18883915116443012,-0.672822925426065,0.44498487429031736
2024-08-31,-0.0014393115957003523,0.004208876201115866,-0.0019490712932773496,-0.018177696779559605,-0.024073355576314574,-0.11213785492895088,1.5,-0.4879177720822129,0.6857842858076705,-0.3056623530076157,-0.9005381440666446
2024-09-30,0.0004599901513353864,-0.0011823760482162146,-0.007705639299090251,4.962313301911098e-05,-0.09344652092323728,0.053034370368513314,2.1999999999999886,-0.22889683676218275,0.8713104694078102,-0.8839763439883539,0.39146753503274084
2024-10-31,-0.028533180941477023,-0.002520838192249728,-0.019999414632300535,-0.05495427493434932,0.01918235891034688,0.1457084418102017,0.4000000000000057,-1.0105345757160795,0.39424314015030487,0.05492930736144901,1.1163801309143306
2024-11-30,0.008291173647320071,0.00342509126113805,-0.0020506390510685387,-0.013190217832690459,-0.0030116547268677447,0.3435664868566984,1.2999999999999972,-0.4170427631449149,0.6327768047790575,-0.13008615990507189,2.6640599384315835
2024-12-31,0.0013257715311961575,0.016720783736732667,-0.001038545631162868,0.001993026070719363,0.023039329509850957,0.015395799032189855,2.200000000000003,-0.2012799381154745,0.871310469407814,0.08708208645607507,0.0970521281316156
2025-01-31,0.019586006424637308,0.02857623929351767,0.00665456739036902,0.012176772968873756,0.02800715060767776,0.07773055553891402,-2.299999999999997,-0.056562905700739116,-0.32135785373596065,0.12849522410368525,0.5846453616000359
2025-02-28,-0.03684261086338448,0.026157679298480736,-0.003309408696027922,-0.045056288481079065,-0.04776153520822622,-0.19093780448533954,-7.0,-0.8698783672769127,-1.5670336579083481,-0.5031336033605757,-1.5169249618639238
2025-03-31,-0.018411230604121878,-0.01174897418724256,0.008230844088648858,-0.10141168034851247,0.021093231713911437,-0.014179705382882152,-7.700000000000003,-1.6707216279340011,-1.7525598415084918,0.07085887424454627,-0.1342925764498309
2025-04-30,-0.015925504123552828,-0.01550594777206906,0.00934410439090792,-0.023280056547115322,-0.16897773585953876,0.09875962005364043,-4.799999999999997,-0.5604253050420925,-0.9839513665936132,-1.513625548187079,0.7491383369186352
2025-05-31,-0.00445057021079936,-0.019320687056420448,0.00043200752177167815,0.1086514916214881,0.012281725647016963,0.06913328605344114,0.0,1.3143995824757027,0.28822817809307893,-0.0025962897891757966,0.5173960345417212
2025-06-30,-0.005615753650909768,-0.02277083106145607,0.003284958956258342,0.15467857662254972,0.056436524867462444,0.005832344480415087,8.5,1.9684715285549572,2.5410461218090976,0.36549039085212676,0.022245134580190923
2025-07-31,-0.026587166871537418,-0.012712996049494489,0.031042003385629305,0.005556367358776041,0.07024434241488044,0.10815321430769988,1.0,-0.15064276283552724,0.55326558323614,0.4805961962834971,0.8226166538786627
2025-08-31,-0.0009325078074716487,-0.011840280102718054,0.004099855551215221,0.02179968724383874,-0.0627293564307543,-0.0681209141018053,-3.5,0.08018436531664144,-0.6394027399076346,-0.6279095218904395,-0.5562300291712113
2025-09-30,-0.0027033618803687666,-0.004435703213598399,0.022118401069338406,0.10209865628527967,-0.016279863893617994,0.061631892173953394,-3.1000000000000014,1.2212799386704976,-0.5333877778504106,-0.24069363987255363,0.4587188357814262
2025-10-31,0.01221564517087048,0.0002580390998826127,0.2054988242500737,0.12281936050938744,-0.029527423403697066,-0.02280128902467907,-1.5,1.5157333313996308,-0.10932792962151258,-0.3511289785617447,-0.20173209303908274
2025-11-30,0.025858896956964625,0.008285311058296618,0.3288195771659224,-0.032524525673933796,-0.02915929559229291,-0.15970035308008249,-2.6000000000000014,-0.6917946479433057,-0.4008690752788801,-0.3480601627921384,-1.2725802208307424
2025-12-31,0.013531858854362021,0.006481042272822674,0.18267929187300233,0.01621624363045395,-0.03789251886717338,-0.054493507766001564,1.8999999999999986,0.0008403479854083211,0.7917992478648945,-0.4208627397102469,-0.44963410273415505
2026-01-31,0.019104138640103765,0.08580967626107702,0.13393063699197333,0.13969695216877984,0.149892360362195,-0.03467180753484265,3.5,1.7555738344759209,1.2158590960937925,1.1445642147885107,-0.2945853394088353
2026-02-28,0.008294106256809269,0.07378405036357685,0.00034123404782822293,0.017149295620958457,0.025006553330371804,-0.25195025111523156,0.20000000000000284,0.014099565491977068,0.3412356591216919,0.10348141108121632,-1.9941748590521702
2026-03-31,0.000481466282549708,-0.025918826161504094,-0.013790174528603467,-0.06881500205599814,0.49033561501702566,0.0787723455474149,-3.3000000000000043,-1.207503659513614,-0.5863952588790236,3.982593823461115,0.5927944230114692
