date,gpu_ret,gpu_n_chg,gpu_new_sh,gpu_riq_l1,cpu_ret,cpu_n_chg,cpu_new_sh,cpu_riq_l1,ram_ret,ram_n_chg,ram_new_sh,ram_riq_l1,gpu_high_chg,gpu_vram_chg,cpu_amd_chg,ram_ddr5_chg,ram_cap_chg
2024-03-17,0.003091853496721,-0.013245226750020933,0.024,0.0002007184315324,0.0005075535352144,-0.005865119452398204,0.0352941176470588,0.0005609045990215,0.0014727700884034,0.013764113539165734,0.1934805467928496,0.0,0.0014035087719298511,-0.02719298245614077,0.0022703818369453344,0.013780803059959268,0.6835426293498692
2024-03-24,0.0020496207331638,-0.004008021397538641,0.0281124497991967,0.002399318597452,0.0006733549823636,0.0,0.0294117647058823,0.0001025424252825,-0.0030157434105882,0.00210084110881148,0.204616998950682,0.0001066819840742,0.0033734939759035854,-0.03507362784471191,-0.005882352941176505,0.004588973003509911,0.3453326315812717
2024-03-31,0.0010933686827927,0.017253248147559574,0.0407894736842105,0.0013157904501968,0.001044098580576,0.005865119452398204,0.0526315789473684,0.0,-0.0015083835246113,-0.016931621415779752,0.1985058697972251,0.0004120219822083,-0.008724371168886136,-0.008786021278092804,-0.002235982112143098,-0.0009742866709744891,-0.2404382722201781
2024-04-07,-0.0001153440516104,-0.002635047638005261,0.021108179419525,0.0002550605782705,-0.0086746720647496,-0.011764841579586793,0.0710059171597633,0.0011634562513522,-0.0051279521639672,0.04180336980436028,0.2016376663254862,0.0002839547013691,0.0052805165949174615,0.031370642966251694,-0.007335893975569996,0.005446507670006817,-0.6716026780301227
2024-04-14,0.0002916726195209,0.001318391753258652,0.0289855072463768,0.0007552717168723,0.0006425134444731,-0.030032287098874733,0.0121951219512195,0.0148463636735431,0.0035704723332439,0.009169702559852944,0.2170385395537525,0.0059319241197015,-0.0006674523136609434,-0.03810387921894076,-0.0008298455765622936,0.004156450283498148,0.2840358675499992
2024-04-21,0.0024268508891515,0.011787955752041945,0.0455729166666666,0.0004031598659519,-0.0051642772684121,0.041797128678461526,0.0701754385964912,0.0014106950789591,0.0031641766240276,-0.00814668456781753,0.2004089979550102,0.0005421190362255,0.0005815629117259524,-0.061125864624505866,-0.009378120096990517,0.009828809882319711,0.18131966135300814
2024-04-28,-0.0009344710930582,0.014221312723075918,0.0410783055198973,0.0003676579664766,-0.0043474434548666,0.0,0.0350877192982456,0.0028385230722953,0.0003316461810689,-0.026944635243452808,0.1691176470588235,0.0017707713939167,0.00696840233204965,0.08467553219939994,0.005847953216374324,0.010237837466274824,0.41075509958584533
2024-05-05,-0.0006387161801975,-0.010322672307419012,0.0363164721141374,0.0004126458502806,-0.0029576162654787,0.011628037995119023,0.0462427745664739,0.0078391738291596,-0.0011429578184124,-0.008438868645864517,0.1832627118644068,0.0,0.007921959211400487,0.0833337495775126,0.013081837541831454,-0.01930814698760852,-0.2944203104970775
2024-05-12,0.0006126049351804,-0.0038986404156569066,0.03125,0.0007638171900339,0.0005006047730786,-0.011628037995119023,0.0292397660818713,0.0041548690554691,-0.0011858774380771,0.047578776983135285,0.2202020202020202,0.0014618659416223,-0.003171611543450137,-0.02868636511024647,-0.013081837541831454,-0.007128488272556077,-0.38317497003937717
2024-05-19,-0.0010798173335266,-0.013106347505300597,0.0277044854881266,0.0001704038816572,-0.0018316731189174,0.0288204385354911,0.0681818181818181,0.0003993087957563,0.0009069957027287,-0.09198238971165029,0.1406423034330011,0.0018613704221004,0.004198273966578792,0.016635059366754135,0.006578947368421073,0.010916473707171304,0.5559582536326779
